r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.023636822639368348,1.0,1.0,1.0
1,3,0.013280012522746748,0.9333333333333332,1.0,0.9971014492753623
1,4,0.21003163130141536,0.7666666666666666,0.75,0.8971014492753623
1,5,0.21209179683394547,0.82,0.8,0.8769565217391303
2,2,0.02612653538403855,0.95,0.95,0.9979166666666666
2,3,0.009096396050024356,1.0,1.0,1.0
2,4,0.10948943835475364,0.8833333333333334,0.9,0.9535256410256409
2,5,0.021437601847627465,0.99,1.0,0.9992592592592592
3,2,0.0013801793183044753,1.0,1.0,1.0
3,3,0.06276405199427337,0.9333333333333333,0.9333333333333333,0.974485596707819
3,4,0.016710019389175657,0.9777777777777779,0.9833333333333332,0.9984674329501917
3,5,0.07807485572703403,0.9333333333333333,0.9333333333333333,0.9517204301075269
4,2,0.1299976431274163,0.7,0.7,0.889423076923077
4,3,0.21263110066715107,0.7833333333333334,0.8166666666666667,0.8448275862068966
4,4,0.1948007132768354,0.7833333333333333,0.775,0.87578125
4,5,0.15658532205783265,0.865,0.89,0.8734285714285714
5,2,0.09134932174368954,0.9199999999999999,0.9199999999999999,0.9192592592592591
5,3,0.06471742217758353,0.9333333333333333,0.9199999999999999,0.9845161290322582
5,4,0.16392124528572322,0.86,0.8299999999999998,0.8922857142857143
5,5,0.04385182163463396,0.9640000000000001,0.96,0.9741538461538461
6,2,0.058109497514177266,0.8166666666666667,0.8166666666666667,0.9904761904761905
6,3,0.15777994598946393,0.7888888888888889,0.8,0.9196969696969696
6,4,0.07204874812179048,0.9194444444444445,0.9083333333333332,0.9621345029239766
6,5,0.16066559799974917,0.8733333333333333,0.8333333333333334,0.9124418604651163
7,2,0.07958592211043716,0.7428571428571429,0.7428571428571429,0.9620689655172413
7,3,0.09471984630656946,0.8238095238095238,0.8285714285714285,0.9601360544217687
7,4,0.07134155550266937,0.8880952380952382,0.9142857142857143,0.9653890824622531
7,5,0.13978658737499994,0.8442857142857143,0.7714285714285715,0.9101823708206688
8,2,0.19123625676466277,0.775,0.775,0.8883333333333334
8,3,0.2041320215451325,0.7833333333333333,0.7583333333333334,0.8557432432432431
8,4,0.1298053395070231,0.8625,0.85625,0.9259469696969698
8,5,0.18764345417334818,0.8287500000000001,0.8350000000000002,0.8981127450980392
9,2,0.1575197953619688,0.7888888888888889,0.7888888888888889,0.913978494623656
9,3,0.07499448873312761,0.825925925925926,0.837037037037037,0.9578347578347579
9,4,0.04529876980169004,0.9259259259259259,0.9388888888888889,0.9862884160756501
9,5,0.08496771820380644,0.8744444444444446,0.8399999999999999,0.9611515151515151
10,2,0.09972447108491647,0.8099999999999999,0.8099999999999999,0.954375
10,3,0.13785157217942925,0.8299999999999998,0.82,0.9327642276422765
10,4,0.14913050806338216,0.8383333333333333,0.8300000000000001,0.9069333333333335
10,5,0.11430012694269935,0.866,0.8480000000000001,0.9122033898305084
