r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.33503440533564866,0.8,0.8,0.8
1,3,0.33994229809303145,0.8,0.8,0.9594202898550724
1,4,0.6570980211949716,0.4,0.4,0.558695652173913
1,5,0.6720353144382223,0.4,0.4,0.4460869565217392
2,2,0.41681237784099096,0.7,0.7,0.7
2,3,0.5004901805319742,0.6833333333333333,0.7,0.6993333333333334
2,4,0.48660510211795066,0.6,0.6,0.7634615384615385
2,5,0.5472231802613543,0.6849999999999999,0.64,0.7225925925925927
3,2,0.2687502011602523,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,3,0.2916099363185498,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,4,0.5114312553946937,0.6166666666666666,0.5999999999999999,0.7130268199233716
3,5,0.5026885368354691,0.7333333333333333,0.7333333333333333,0.738494623655914
4,2,0.5491939292949183,0.6,0.6,0.7240384615384616
4,3,0.6680970693435534,0.45,0.45,0.503735632183908
4,4,0.6091980112364117,0.5916666666666667,0.6,0.6837239583333333
4,5,0.5687943774829651,0.61,0.6,0.6237142857142857
5,2,0.4816615148639132,0.72,0.72,0.72
5,3,0.41292311022339084,0.8,0.8,0.8393548387096773
5,4,0.6954470462914294,0.44333333333333336,0.41999999999999993,0.5057142857142857
5,5,0.3929644265631137,0.8,0.8,0.8151794871794872
6,2,0.5038478525578614,0.6333333333333333,0.6333333333333333,0.6928571428571428
6,3,0.7143289894401484,0.4333333333333333,0.4333333333333333,0.545959595959596
6,4,0.54432333353479,0.6333333333333333,0.6333333333333333,0.6489035087719298
6,5,0.5931362524863555,0.6333333333333333,0.6333333333333333,0.669922480620155
7,2,0.585775747549256,0.5428571428571427,0.5428571428571427,0.6182266009852215
7,3,0.6705517956630394,0.48571428571428565,0.48571428571428565,0.5440816326530612
7,4,0.6102589775866403,0.5761904761904761,0.5714285714285714,0.5963995354239257
7,5,0.6341000589193084,0.5714285714285714,0.5714285714285714,0.6004255319148936
8,2,0.6037545006604589,0.575,0.575,0.6395833333333334
8,3,0.7060015363478411,0.425,0.425,0.4886261261261261
8,4,0.7625376829724725,0.40625,0.4,0.4614583333333334
8,5,0.7472010723971579,0.43499999999999994,0.425,0.44666666666666666
9,2,0.6105951105497491,0.5777777777777777,0.5777777777777777,0.6154121863799282
9,3,0.5883067560043918,0.5777777777777777,0.5777777777777777,0.6340930674264007
9,4,0.6549723813658139,0.5166666666666667,0.5111111111111111,0.5490149724192278
9,5,0.722260777507242,0.49333333333333335,0.4666666666666667,0.5264848484848484
10,2,0.570253740452846,0.5999999999999999,0.5999999999999999,0.6359375
10,3,0.6688339236518336,0.45999999999999996,0.45999999999999996,0.5300813008130081
10,4,0.7801903609085975,0.39333333333333337,0.38,0.4457
10,5,0.7083637359965612,0.5469999999999999,0.54,0.5987966101694916
