r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.14962128325363216,0.8,0.8,0.9695652173913043
1,3,0.0824131195544251,1.0,1.0,1.0
1,4,0.352025125506352,0.8,0.8,0.8021739130434783
1,5,0.4095922820366895,0.64,0.6,0.7756521739130434
2,2,0.21102750804710468,0.8,0.8,0.9666666666666668
2,3,0.2203570339220314,0.9333333333333333,0.9,0.9933333333333334
2,4,0.22389582419221718,0.8,0.8,0.8875
2,5,0.3212249512091583,0.96,1.0,0.9974074074074075
3,2,0.07675630505833615,1.0,1.0,1.0
3,3,0.11369164379345734,0.888888888888889,0.8666666666666666,0.9308641975308642
3,4,0.1964697871004344,1.0,1.0,1.0
3,5,0.28012021500824613,0.9066666666666666,0.9333333333333333,0.9312903225806451
4,2,0.21139949454823453,0.925,0.925,0.9
4,3,0.326262682249648,0.7833333333333334,0.7833333333333333,0.7982758620689655
4,4,0.3340387228946782,0.7875,0.8,0.800390625
4,5,0.33836809864167233,0.79,0.76,0.8422857142857143
5,2,0.18281610097122045,0.9,0.9,0.9185185185185185
5,3,0.19556940025391517,0.8799999999999999,0.8799999999999999,0.9191397849462366
5,4,0.30867449017634935,0.7833333333333333,0.77,0.798
5,5,0.17860607866406802,0.9059999999999999,0.8719999999999999,0.954974358974359
6,2,0.201088317341472,0.8666666666666668,0.8666666666666668,0.9303571428571429
6,3,0.35763473019142566,0.6944444444444444,0.7,0.8176767676767677
6,4,0.21776998068673076,0.8388888888888889,0.8333333333333334,0.923172514619883
6,5,0.3178673059946333,0.7400000000000001,0.74,0.823139534883721
7,2,0.27092767537487494,0.7714285714285715,0.7714285714285715,0.9216748768472905
7,3,0.29297822429039055,0.8238095238095238,0.8380952380952381,0.9102040816326531
7,4,0.24777949908349456,0.8357142857142857,0.8357142857142857,0.9324622531939605
7,5,0.33602062368502833,0.7785714285714287,0.7371428571428572,0.8503951367781155
8,2,0.3011334858996468,0.7375,0.7375,0.8208333333333334
8,3,0.40373261735950494,0.6583333333333334,0.6166666666666667,0.7641891891891891
8,4,0.39823722441060455,0.75,0.73125,0.8641571969696971
8,5,0.38786711502197135,0.71875,0.71,0.7925980392156864
9,2,0.33044944792275643,0.7444444444444444,0.7444444444444444,0.8397849462365592
9,3,0.25844065630780655,0.7925925925925925,0.8,0.9202279202279202
9,4,0.31218081694553257,0.8240740740740741,0.8111111111111111,0.9432230102442869
9,5,0.35371766310802955,0.7366666666666666,0.7288888888888889,0.8777373737373738
10,2,0.26786437474830793,0.8,0.8,0.91375
10,3,0.3165601143213664,0.77,0.7866666666666667,0.8539837398373985
10,4,0.424358934552974,0.75,0.75,0.8529
10,5,0.3575641673526406,0.772,0.724,0.8717118644067796
