r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0,0.9,0.9,0.9652173913043478
1,3,0.0,0.9333333333333332,1.0,0.9913043478260869
1,4,0.03709275404406489,0.7666666666666667,0.9,0.9195652173913043
1,5,0.03561950304063654,0.8400000000000001,1.0,0.9508695652173913
2,2,0.0,0.75,0.75,0.9375
2,3,0.0023473682062623647,0.85,0.7666666666666667,0.9786666666666667
2,4,0.0220866185490396,0.8833333333333332,0.875,0.9711538461538461
2,5,0.0028309318249472,0.745,0.72,0.8837037037037035
3,2,0.0,0.7,0.7,0.9706666666666667
3,3,0.016026669237932452,0.9222222222222223,0.9111111111111111,0.974485596707819
3,4,3.286142618526438e-06,0.8555555555555555,0.7833333333333333,0.9471264367816092
3,5,0.02438989564481434,0.8466666666666667,0.9199999999999999,0.9476344086021505
4,2,0.0021813042948418456,0.625,0.625,0.953846153846154
4,3,0.022701649246473173,0.5833333333333334,0.6666666666666666,0.8591954022988506
4,4,0.011950222992041662,0.6875,0.6875,0.890625
4,5,0.009608466963877793,0.8125,0.78,0.9530714285714288
5,2,0.0026744944795322944,0.6200000000000001,0.6200000000000001,0.9392592592592592
5,3,0.009847958038130973,0.6666666666666666,0.7333333333333334,0.8933333333333332
5,4,0.016198663229977983,0.8133333333333332,0.7799999999999999,0.9334285714285715
5,5,0.006964281373847643,0.786,0.768,0.9147179487179485
6,2,0.0004412801553102714,0.6666666666666666,0.6666666666666666,0.9642857142857142
6,3,0.019305746405208164,0.7055555555555555,0.7444444444444445,0.932996632996633
6,4,3.4108865565389555e-07,0.8416666666666666,0.8166666666666667,0.9719298245614036
6,5,0.03554676567976338,0.6,0.6666666666666666,0.853875968992248
7,2,0.0017010733866828092,0.7,0.7,0.9147783251231527
7,3,0.018172174655298932,0.6047619047619047,0.619047619047619,0.8820408163265308
7,4,0.011126238923675286,0.7833333333333334,0.7857142857142857,0.9566202090592334
7,5,0.0324656850420577,0.5571428571428572,0.5942857142857143,0.8523100303951366
8,2,0.006007776532760434,0.6,0.6,0.9516666666666665
8,3,0.005791168065908265,0.8,0.7833333333333333,0.9646396396396396
8,4,0.036067953777878345,0.5666666666666668,0.575,0.8372159090909091
8,5,0.026674269418083058,0.6425,0.705,0.9017647058823529
9,2,0.0022463299838024345,0.6222222222222222,0.6222222222222222,0.913978494623656
9,3,0.016137832109943746,0.7148148148148148,0.725925925925926,0.9379867046533713
9,4,0.0009002559365038753,0.6870370370370371,0.7055555555555555,0.9466509062253744
9,5,0.016467651591011535,0.57,0.6311111111111111,0.8123030303030301
10,2,0.003380494650908104,0.65,0.65,0.9425000000000001
10,3,0.01880726473723289,0.7166666666666666,0.74,0.9304065040650407
10,4,0.022141747477127625,0.6466666666666667,0.625,0.9130333333333335
10,5,0.030567205200091783,0.5439999999999999,0.544,0.8587118644067797
