r,w,diameter,precision@w-1,precision@1,triplet
1,2,8.329963511877203e-06,1.0,1.0,1.0
1,3,0.0006985439505791928,1.0,1.0,1.0
1,4,0.006648842972171894,1.0,1.0,1.0
1,5,0.00029201690652168376,1.0,1.0,1.0
2,2,0.0007658816057820262,1.0,1.0,1.0
2,3,0.0004974086373899252,1.0,1.0,1.0
2,4,0.3727722069274443,0.6583333333333333,0.675,0.6833333333333333
2,5,0.20347857675474773,0.8400000000000001,0.8800000000000001,0.8
3,2,0.20084097140351953,0.8333333333333333,0.8333333333333333,0.8
3,3,0.13356572154239732,0.8666666666666668,0.8666666666666668,0.8666666666666668
3,4,0.10990398432651098,0.888888888888889,0.8666666666666666,0.9244444444444444
3,5,0.1366123288501851,0.8833333333333334,0.9199999999999999,0.8666666666666666
4,2,0.27064086703350343,0.725,0.725,0.7375
4,3,0.1007629373935833,0.9166666666666667,0.9333333333333332,0.9
4,4,0.1017371919038117,0.925,0.9375,0.9
4,5,0.3747250989921387,0.6525000000000001,0.72,0.6357142857142857
5,2,0.29650508199973735,0.74,0.74,0.7107692307692308
5,3,0.21022962670543371,0.7866666666666666,0.8133333333333332,0.7929411764705883
5,4,0.2022746747085719,0.8333333333333334,0.8699999999999999,0.8
5,5,0.46375167912567816,0.56,0.576,0.5840000000000001
6,2,0.34819219623437914,0.6666666666666666,0.6666666666666666,0.6595238095238095
6,3,0.38636398994339133,0.5888888888888889,0.6111111111111112,0.6210526315789474
6,4,0.3018096308431367,0.75,0.7749999999999999,0.7
6,5,0.33872251012762805,0.7,0.7533333333333333,0.6666666666666666
7,2,0.4006091072941813,0.6,0.6,0.6095238095238095
7,3,0.3528814285388808,0.6666666666666667,0.7047619047619047,0.6517006802721088
7,4,0.3093935016792625,0.6571428571428571,0.6857142857142857,0.6994708994708995
7,5,0.29243921994600824,0.7142857142857143,0.7657142857142857,0.7107792207792208
8,2,0.41620701206294425,0.6125,0.6125,0.5890625
8,3,0.3885518476039198,0.6083333333333333,0.6416666666666667,0.6141304347826086
8,4,0.31814067932969825,0.65,0.675,0.6891666666666667
8,5,0.33898456430173596,0.7,0.77,0.6709459459459459
9,2,0.4296161114919981,0.5666666666666667,0.5666666666666667,0.5816993464052287
9,3,0.41818455100788904,0.5407407407407407,0.5703703703703702,0.5816296296296296
9,4,0.3935329007396252,0.5777777777777778,0.6166666666666667,0.6087542087542087
9,5,0.40495708313923695,0.5688888888888889,0.6177777777777778,0.610840108401084
10,2,0.4282870602017959,0.55,0.55,0.5777777777777777
10,3,0.419126196635158,0.5333333333333333,0.5666666666666667,0.5790123456790124
10,4,0.41851622722953313,0.55,0.6,0.5888888888888889
10,5,0.4230283407182462,0.54,0.6,0.5888888888888889
