r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0616854097227274,1.0,1.0,1.0
1,3,0.05089014171699158,1.0,1.0,1.0
1,4,0.0018245677172079179,1.0,1.0,1.0
1,5,0.036432403235831086,1.0,1.0,1.0
2,2,0.029221289056586285,1.0,1.0,1.0
2,3,0.026698584515059687,1.0,1.0,1.0
2,4,0.3733997197338751,0.7333333333333333,0.675,0.7861111111111111
2,5,0.16649377801529966,0.9400000000000001,0.9400000000000001,0.9842307692307692
3,2,0.20067721008481737,0.8,0.8,0.8
3,3,0.12777315533406264,0.9333333333333332,0.9555555555555555,0.9897435897435898
3,4,0.16359390504660773,0.8833333333333334,0.8666666666666666,0.8666666666666666
3,5,0.1357330876024094,0.96,0.96,0.9919607843137255
4,2,0.2719091675929778,0.8,0.8,0.8916666666666666
4,3,0.09606570959677102,0.95,0.9,0.9933333333333334
4,4,0.12219972301231585,0.95,0.95,0.986574074074074
4,5,0.38442020598016435,0.82,0.77,0.8867857142857144
5,2,0.2654519586515537,0.7799999999999999,0.7799999999999999,0.9092307692307692
5,3,0.21634697801171318,0.8933333333333333,0.8399999999999999,0.9152941176470588
5,4,0.2317566607011276,0.8733333333333333,0.8400000000000001,0.8774603174603175
5,5,0.5133319797780679,0.6,0.576,0.6272
6,2,0.3383162078781602,0.7666666666666666,0.7666666666666666,0.8261904761904763
6,3,0.40647730378029995,0.6888888888888889,0.6777777777777778,0.7526315789473685
6,4,0.29908420986147,0.8305555555555555,0.8,0.8863425925925925
6,5,0.2892517368488221,0.8566666666666667,0.8200000000000001,0.973793103448276
7,2,0.3852850488032001,0.6857142857142857,0.6857142857142857,0.8104761904761905
7,3,0.3862516682592998,0.6714285714285714,0.6571428571428571,0.6843537414965987
7,4,0.3725903846795704,0.7047619047619047,0.7142857142857143,0.735978835978836
7,5,0.31233374767161876,0.7842857142857144,0.7714285714285714,0.8427705627705627
8,2,0.45662756882455185,0.575,0.575,0.5984375
8,3,0.42001838323047275,0.6333333333333333,0.625,0.6684782608695652
8,4,0.38338451706592125,0.7187499999999999,0.7,0.7647222222222222
8,5,0.3645835797095168,0.7449999999999999,0.725,0.7880067567567568
9,2,0.4908871050481073,0.5333333333333333,0.5333333333333333,0.5516339869281045
9,3,0.49010485560499184,0.5407407407407407,0.5333333333333333,0.5537777777777777
9,4,0.4751486200672071,0.6,0.5777777777777777,0.6164983164983164
9,5,0.4976946800348472,0.6066666666666667,0.5777777777777777,0.6164498644986449
10,2,0.5173355377435581,0.5,0.5,0.5
10,3,0.5217047276340181,0.5,0.5,0.5
10,4,0.5380760214286757,0.5333333333333333,0.5,0.5
10,5,0.5520444564025984,0.54,0.5,0.5
