r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.00025925181929880025,1.0,1.0,1.0
1,3,0.0019686826208408816,1.0,1.0,1.0
1,4,0.002828675363319925,1.0,1.0,1.0
1,5,0.0017048483114760972,1.0,1.0,1.0
2,2,0.0002867975377315424,1.0,1.0,1.0
2,3,0.002936686280831994,1.0,1.0,1.0
2,4,0.40294675454072076,0.625,0.675,0.6
2,5,0.20658960896846984,0.8400000000000001,0.8800000000000001,0.8
3,2,0.20170985987814088,0.8333333333333333,0.8333333333333333,0.8
3,3,0.13863774788440725,0.8666666666666668,0.8666666666666668,0.8666666666666668
3,4,0.1499293808887246,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,5,0.15368871722759136,0.8833333333333334,0.9199999999999999,0.8666666666666666
4,2,0.3012108273422707,0.725,0.725,0.7
4,3,0.11563873362590497,0.9166666666666667,0.9333333333333332,0.9
4,4,0.12907703724101008,0.925,0.9375,0.9
4,5,0.40706731946531916,0.6525000000000001,0.72,0.6
5,2,0.321657538115677,0.74,0.74,0.6799999999999999
5,3,0.2590712070271285,0.7866666666666666,0.8133333333333332,0.76
5,4,0.23536774490487847,0.8333333333333334,0.8699999999999999,0.8
5,5,0.5628356338851013,0.528,0.576,0.48
6,2,0.3711342491588059,0.6666666666666666,0.6666666666666666,0.6333333333333333
6,3,0.4538889200344215,0.5888888888888889,0.6111111111111112,0.5666666666666667
6,4,0.3492128167234657,0.75,0.7749999999999999,0.7
6,5,0.3857081386824639,0.7,0.7533333333333333,0.6666666666666666
7,2,0.46297148807853195,0.6,0.6,0.5428571428571428
7,3,0.3932930343572562,0.6666666666666667,0.7047619047619047,0.6285714285714287
7,4,0.4106537945279281,0.6571428571428571,0.6857142857142857,0.6285714285714286
7,5,0.45853876251653575,0.7142857142857143,0.7657142857142857,0.6857142857142857
8,2,0.457475013061702,0.6125,0.6125,0.55
8,3,0.461252264966745,0.6083333333333333,0.6416666666666667,0.575
8,4,0.4800859123027529,0.65,0.675,0.625
8,5,0.5161578015407113,0.7,0.77,0.65
9,2,0.4994504017411277,0.5666666666666667,0.5666666666666667,0.5111111111111111
9,3,0.525765848856181,0.5407407407407407,0.5703703703703702,0.5111111111111111
9,4,0.5474727047473169,0.5777777777777778,0.6166666666666667,0.5333333333333333
9,5,0.643951294932886,0.5688888888888889,0.6177777777777778,0.5333333333333333
10,2,0.5105272392620915,0.55,0.55,0.5
10,3,0.5459711305544105,0.5333333333333333,0.5666666666666667,0.5
10,4,0.6005391299117491,0.55,0.6,0.5
10,5,0.6779118284670353,0.54,0.6,0.5
