r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.07012526565087956,1.0,1.0,1.0
1,3,0.05884834345309027,1.0,1.0,1.0
1,4,0.024693737703915926,1.0,1.0,1.0
1,5,0.03935203143360849,1.0,1.0,1.0
2,2,0.09760815012826886,1.0,1.0,1.0
2,3,0.08566944194735275,1.0,1.0,1.0
2,4,0.327729968248331,0.625,0.675,0.6
2,5,0.1776678611594839,0.8400000000000001,0.8800000000000001,0.8
3,2,0.19175169636333994,0.8333333333333333,0.8333333333333333,0.8
3,3,0.14271355036947148,0.8666666666666668,0.8666666666666668,0.8666666666666668
3,4,0.1578554333203155,0.888888888888889,0.8666666666666666,0.8666666666666666
3,5,0.17892241032733772,0.8833333333333334,0.9199999999999999,0.8666666666666666
4,2,0.29566533453817984,0.725,0.725,0.7
4,3,0.14505202492440156,0.9166666666666667,0.9333333333333332,0.9
4,4,0.14056650582312763,0.925,0.9375,0.9
4,5,0.36841225988503923,0.665,0.72,0.6
5,2,0.31448764197803947,0.74,0.74,0.6799999999999999
5,3,0.25977896839811715,0.8066666666666666,0.8400000000000001,0.76
5,4,0.2298038017966985,0.8333333333333334,0.8699999999999999,0.8
5,5,0.4814697643920246,0.548,0.608,0.48
6,2,0.3489860932693545,0.6666666666666666,0.6666666666666666,0.6333333333333333
6,3,0.40427802145242736,0.6166666666666666,0.6333333333333333,0.5666666666666667
6,4,0.3399276510525417,0.75,0.7749999999999999,0.7
6,5,0.3791840822420938,0.6916666666666667,0.7533333333333333,0.6656896551724137
7,2,0.4118847644038783,0.6,0.6,0.5428571428571428
7,3,0.36333017379744265,0.6666666666666667,0.7047619047619047,0.6285714285714287
7,4,0.3827659416483839,0.680952380952381,0.75,0.6285714285714286
7,5,0.3781122759972907,0.72,0.7657142857142857,0.6857142857142857
8,2,0.41488476386407447,0.6125,0.6125,0.55
8,3,0.41691089844824925,0.6249999999999999,0.6416666666666667,0.575
8,4,0.43423415889774136,0.66875,0.69375,0.625
8,5,0.4578818928713921,0.7050000000000001,0.77,0.65
9,2,0.4598083989106896,0.5666666666666667,0.5666666666666667,0.5111111111111111
9,3,0.47379133037306254,0.562962962962963,0.5851851851851851,0.5111111111111111
9,4,0.4894442843522843,0.5944444444444444,0.6333333333333333,0.5333333333333333
9,5,0.5990837561049716,0.5866666666666667,0.6355555555555555,0.5333333333333333
10,2,0.47493999331803777,0.55,0.55,0.5
10,3,0.5040320713349133,0.5666666666666667,0.5666666666666667,0.5
10,4,0.5543210873580932,0.575,0.6,0.5
10,5,0.6187653451967775,0.56,0.6,0.5
