r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.043508364825317614,1.0,1.0,1.0
1,3,0.024449865487250578,1.0,1.0,1.0
1,4,0.010369983976149232,1.0,1.0,1.0
1,5,0.023215349553877704,1.0,1.0,1.0
2,2,0.020389026917964716,1.0,1.0,1.0
2,3,0.045164692579497026,1.0,1.0,1.0
2,4,0.4243260294366464,0.625,0.675,0.6
2,5,0.22694025421475064,0.8400000000000001,0.8800000000000001,0.8
3,2,0.20893196798573496,0.8333333333333333,0.8333333333333333,0.8
3,3,0.1704675505163821,0.8666666666666668,0.8666666666666668,0.8666666666666668
3,4,0.2008406290844651,0.888888888888889,0.8666666666666666,0.8666666666666666
3,5,0.25605597838184574,0.8833333333333334,0.9199999999999999,0.8666666666666666
4,2,0.31889615113876124,0.725,0.725,0.7
4,3,0.1273134886530354,0.9166666666666667,0.9333333333333332,0.9
4,4,0.2285308393331896,0.9166666666666667,0.9375,0.8993055555555556
4,5,0.41943843909791134,0.665,0.72,0.6
5,2,0.33742810651399036,0.74,0.74,0.6799999999999999
5,3,0.27574609333559796,0.8066666666666666,0.8400000000000001,0.76
5,4,0.36443557551789857,0.8200000000000001,0.8299999999999998,0.7980952380952381
5,5,0.6978481585639001,0.548,0.608,0.48
6,2,0.38342296985553254,0.6666666666666666,0.6666666666666666,0.6333333333333333
6,3,0.48095087612781773,0.6166666666666666,0.6333333333333333,0.5666666666666667
6,4,0.4657186014174317,0.75,0.7749999999999999,0.7
6,5,0.4998511401369778,0.6883333333333332,0.72,0.6649425287356321
7,2,0.4734509478426233,0.6,0.6,0.5428571428571428
7,3,0.47603864307974214,0.6476190476190476,0.6952380952380952,0.6258503401360545
7,4,0.5537686666266295,0.6642857142857144,0.7214285714285713,0.6270723104056437
7,5,0.6334324569507269,0.6900000000000001,0.7428571428571428,0.6817316017316017
8,2,0.4674142673725572,0.6125,0.6125,0.55
8,3,0.5356001996554671,0.6124999999999999,0.6333333333333333,0.5742753623188406
8,4,0.6724706169998227,0.6,0.6375,0.6168055555555555
8,5,0.738774175085193,0.65625,0.71,0.6438851351351351
9,2,0.5095387982818029,0.5666666666666667,0.5666666666666667,0.5111111111111111
9,3,0.5786595037377587,0.5481481481481482,0.5777777777777777,0.5093333333333333
9,4,0.6779896260544798,0.5351851851851852,0.5833333333333334,0.5264309764309765
9,5,0.8779585498874312,0.5166666666666667,0.5377777777777777,0.525420054200542
10,2,0.5199612839094466,0.55,0.55,0.5
10,3,0.6150991833920033,0.5,0.5333333333333333,0.4925925925925926
10,4,0.764560603137906,0.475,0.5,0.48888888888888893
10,5,0.8839380878472742,0.47,0.5,0.49044444444444446
