r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.20512463176763857,1.0,1.0,1.0
1,3,0.22430445778681443,1.0,1.0,1.0
1,4,0.2337442394247403,1.0,1.0,1.0
1,5,0.240038550561151,1.0,1.0,1.0
1,6,0.24516079500559768,1.0,1.0,1.0
1,7,0.2485924379708661,1.0,1.0,1.0
1,8,0.25147995903369297,1.0,1.0,1.0
1,9,0.2548310372888103,1.0,1.0,1.0
1,10,0.25649113030045945,1.0,1.0,1.0
2,2,0.2136454986408336,1.0,1.0,1.0
2,3,0.2954290403427797,0.9,0.9,0.909090909090909
2,4,0.23083976990692076,1.0,1.0,1.0
2,5,0.22459623440891016,1.0,1.0,1.0
2,6,0.23370939949531916,1.0,1.0,1.0
2,7,0.3023262864369317,0.9,0.9,0.9199999999999999
2,8,0.3255492497134756,0.9,0.9,0.921875
2,9,0.2438955971592665,1.0,1.0,1.0
2,10,0.35825973076174567,0.8161111111111111,0.8,0.8583333333333334
3,2,0.30734951887738593,0.8333333333333333,0.8333333333333333,0.909090909090909
3,3,0.36508892525608067,0.7999999999999999,0.7999999999999999,0.8512820512820513
3,4,0.3408107957141628,0.8666666666666668,0.8666666666666668,0.8800000000000001
3,5,0.4377891408501071,0.7333333333333333,0.7333333333333333,0.7666666666666667
3,6,0.43028090581238293,0.76,0.7333333333333332,0.8157894736842104
3,7,0.36891623476631397,0.8111111111111111,0.7999999999999999,0.8718820861678005
3,8,0.32919787885171914,0.9,0.9,0.9304347826086957
3,9,0.39265290856653373,0.8291666666666668,0.8,0.8668148148148148
3,10,0.353727934776849,0.8666666666666666,0.8666666666666666,0.8901234567901234
4,2,0.3347591375115589,0.775,0.775,0.8833333333333334
4,3,0.3855869021813091,0.7875,0.775,0.8400000000000001
4,4,0.34187237095597406,0.7916666666666666,0.75,0.9163194444444445
4,5,0.38261031042612526,0.76875,0.75,0.8404761904761905
4,6,0.35645204592382235,0.86,0.825,0.9210069444444444
4,7,0.44026510677978503,0.7374999999999999,0.7,0.802116402116402
4,8,0.33365075168359376,0.85,0.85,0.8699999999999999
4,9,0.4890246778838495,0.65,0.65,0.7340909090909091
4,10,0.3838614928517635,0.8238888888888889,0.8,0.8988888888888888
5,2,0.38459241092966584,0.76,0.76,0.8353846153846153
5,3,0.4184858607898107,0.7299999999999999,0.72,0.8141176470588235
5,4,0.40157647765276855,0.7266666666666667,0.7,0.8395238095238096
5,5,0.4918375759604342,0.655,0.6399999999999999,0.7168
5,6,0.5356410657513828,0.596,0.58,0.6765517241379312
5,7,0.4531656945386948,0.7033333333333334,0.68,0.7787878787878787
5,8,0.48493128173731054,0.6742857142857142,0.6599999999999999,0.7437837837837837
5,9,0.38669646562746857,0.7708333333333333,0.74,0.8434146341463414
5,10,0.4820400998286902,0.6444444444444444,0.6,0.7707111111111109
6,2,0.4594912450881575,0.65,0.65,0.7339285714285715
6,3,0.3386052261188827,0.8166666666666667,0.8,0.8868421052631581
6,4,0.4329043716533264,0.6763888888888888,0.65,0.7769097222222222
6,5,0.44446534965951523,0.6625,0.65,0.7933333333333334
6,6,0.5449484072611398,0.5466666666666666,0.4833333333333334,0.7094771241830065
6,7,0.5016427403346182,0.6166666666666667,0.6166666666666667,0.694017094017094
6,8,0.508778885972922,0.6309523809523809,0.6166666666666667,0.6970170454545455
6,9,0.5270895431950282,0.5666666666666667,0.5666666666666667,0.6894557823129251
6,10,0.5197895775864898,0.6148148148148149,0.6,0.7021604938271606
7,2,0.5096203404774133,0.5857142857142856,0.5857142857142856,0.680952380952381
7,3,0.5066251347212302,0.5857142857142857,0.5714285714285714,0.7081632653061224
7,4,0.5023586428630769,0.5857142857142856,0.5571428571428572,0.728042328042328
7,5,0.4930588775196433,0.5714285714285714,0.5285714285714286,0.7334199134199133
7,6,0.5321990994900012,0.5428571428571429,0.5428571428571429,0.6954822954822956
7,7,0.4451364953369576,0.6809523809523809,0.6571428571428571,0.7677097505668935
7,8,0.471371415000977,0.5979591836734693,0.5857142857142856,0.7468487394957984
7,9,0.42981689688928243,0.6964285714285714,0.6714285714285715,0.7874965190754664
7,10,0.46599118923093,0.6538095238095238,0.6285714285714287,0.7574603174603174
8,2,0.49428707214509304,0.5875,0.5875,0.701953125
8,3,0.5299227808180706,0.525,0.5125,0.6764492753623188
8,4,0.5244298699316944,0.50625,0.5,0.7073958333333333
8,5,0.5127402133583985,0.54375,0.525,0.7200000000000001
8,6,0.5058955766367107,0.57,0.55,0.7141098484848485
8,7,0.48364227166105644,0.5708333333333333,0.55,0.742436974789916
8,8,0.4918113526232588,0.5625,0.5625,0.7401939655172414
8,9,0.5249473056913052,0.5328125,0.5,0.7143616452991451
8,10,0.5348391933126545,0.5077777777777779,0.475,0.7051909722222225
9,2,0.4984312266555415,0.5333333333333334,0.5333333333333334,0.7029411764705882
9,3,0.5044770130594046,0.538888888888889,0.5333333333333334,0.713925925925926
9,4,0.5052325590062322,0.5324074074074074,0.5222222222222223,0.7293771043771043
9,5,0.5021714943018126,0.5305555555555557,0.5222222222222223,0.7372357723577236
9,6,0.49926575605349877,0.5311111111111112,0.5222222222222223,0.7408919123204838
9,7,0.4961506641893948,0.5314814814814814,0.5222222222222223,0.7420774157616262
9,8,0.4938768136195134,0.5317460317460319,0.5222222222222223,0.7423290598290598
9,9,0.49197143716057157,0.5319444444444444,0.5222222222222223,0.7427363436495857
9,10,0.49110017588284094,0.5319753086419754,0.5222222222222223,0.7425925925925926
10,2,0.49963703652442426,0.5,0.5,0.7
10,3,0.5044070793109049,0.5,0.5,0.7222222222222222
10,4,0.5016283075198127,0.5,0.5,0.7444444444444445
10,5,0.49375302148934663,0.5,0.5,0.7515555555555556
10,6,0.4883177300913865,0.5,0.5,0.7555555555555556
10,7,0.48393670527243043,0.5,0.5,0.7555555555555555
10,8,0.4795969373294831,0.5,0.5,0.7555555555555554
10,9,0.47562988541127565,0.5,0.5,0.7572016460905349
10,10,0.4751792899270201,0.5,0.5,0.7584567901234565
