r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.1719171450712345,0.1,0.1,0.8795454545454545
1,3,0.18052628891424194,0.25,0.26666666666666666,0.9045454545454547
1,4,0.21184522071628958,0.3083333333333333,0.175,0.8734848484848483
1,5,0.23775639916477226,0.43000000000000005,0.26,0.8686363636363635
1,6,0.22537843002487815,0.6700000000000002,0.35,0.9272727272727271
1,7,0.23589440703954717,0.7738095238095238,0.7714285714285715,0.9304112554112555
1,8,0.23288422437140185,0.9339285714285713,0.8125,0.9831980519480521
1,9,0.23119119798121074,0.975,0.9,0.9909090909090909
1,10,0.2704671952069487,0.8855555555555554,0.8300000000000001,0.9473737373737373
2,2,0.1828814013081938,0.05,0.05,0.8663043478260869
2,3,0.20664944720975503,0.08333333333333333,0.06666666666666667,0.8621527777777779
2,4,0.1998164725317802,0.4916666666666666,0.325,0.9346666666666668
2,5,0.22930064957395374,0.5625,0.39,0.9094230769230769
2,6,0.23469506251125147,0.6683333333333334,0.475,0.930246913580247
2,7,0.27077919097074704,0.6595238095238095,0.36428571428571427,0.9003401360544219
2,8,0.2097230878752671,0.8580357142857142,0.7125,0.9697044334975369
2,9,0.25591025160115943,0.8916666666666666,0.85,0.9626388888888888
2,10,0.26693140995777576,0.8122222222222224,0.6900000000000001,0.9312007168458785
3,2,0.1923714809299753,0.13333333333333333,0.13333333333333333,0.8631944444444443
3,3,0.20056776433209939,0.3111111111111111,0.2666666666666667,0.9004273504273506
3,4,0.19463208592020734,0.5333333333333333,0.3666666666666667,0.9422619047619047
3,5,0.1900587660660572,0.6849999999999999,0.42666666666666664,0.9601666666666666
3,6,0.23254943290603453,0.7055555555555555,0.6222222222222222,0.944375
3,7,0.22889646144342338,0.7452380952380951,0.5190476190476191,0.9502100840336132
3,8,0.22667171661202273,0.775595238095238,0.5916666666666667,0.9514384920634917
3,9,0.28929645026428846,0.7648148148148148,0.6592592592592593,0.9372563352826507
3,10,0.2781111158993759,0.7322222222222223,0.6433333333333333,0.9270370370370371
4,2,0.18604461235118844,0.1875,0.1875,0.8945000000000001
4,3,0.19862031854443682,0.2875,0.2166666666666667,0.909375
4,4,0.20749979219622813,0.4395833333333333,0.275,0.9253360215053764
4,5,0.24892583327129342,0.49000000000000005,0.395,0.9008455882352943
4,6,0.1933059544414602,0.7916666666666666,0.5958333333333333,0.9698873873873876
4,7,0.2550788717521863,0.7785714285714287,0.6500000000000001,0.9595089285714286
4,8,0.23813638579418356,0.7839285714285715,0.690625,0.948089700996678
4,9,0.25452173719419185,0.8319444444444445,0.7138888888888888,0.9637756642512079
4,10,0.21687462810348265,0.9286111111111112,0.8724999999999999,0.9837301587301587
5,2,0.1845072406618493,0.16,0.16,0.8830769230769233
5,3,0.22084882986329415,0.26,0.16666666666666666,0.8986666666666668
5,4,0.19339366023107107,0.525,0.4050000000000001,0.943921568627451
5,5,0.22373122678317037,0.45999999999999996,0.264,0.904921052631579
5,6,0.20602720406173008,0.7186666666666668,0.5833333333333333,0.9578730158730158
5,7,0.20425072477997688,0.7866666666666668,0.6342857142857142,0.9604658385093169
5,8,0.21509746353453613,0.7410714285714286,0.5975,0.9536928571428571
5,9,0.26037486680830846,0.6986111111111112,0.5422222222222223,0.9302057613168723
5,10,0.22509303923670979,0.8473333333333333,0.774,0.9688582375478927
6,2,0.1906864793247303,0.14166666666666666,0.14166666666666666,0.8925925925925926
6,3,0.20740694245170443,0.25555555555555554,0.21111111111111108,0.9128472222222221
