r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0004324580170148982,1.0,1.0,1.0
1,3,0.00712415926052289,1.0,1.0,1.0
1,4,0.04371927534476088,0.9166666666666666,1.0,0.9916666666666666
1,5,0.04648949238779131,0.95,0.8,0.990909090909091
2,2,0.02443521169367202,0.95,0.95,0.9956521739130434
2,3,0.07171591067574201,0.8666666666666668,0.9,0.8979166666666666
2,4,0.031873059256456934,0.9333333333333333,1.0,0.9949999999999999
2,5,0.08365894895783324,0.8699999999999999,1.0,0.9815384615384616
3,2,0.05670352962819547,0.9,0.9,0.9902777777777778
3,3,0.11557094043095872,0.8111111111111111,0.8222222222222222,0.85982905982906
3,4,0.10978652341025992,0.8777777777777777,0.9,0.8660714285714286
3,5,0.03946148873676906,0.9666666666666666,1.0,0.9865555555555556
4,2,0.10124484302085959,0.825,0.825,0.8949999999999999
4,3,0.14213734450584387,0.75,0.7333333333333333,0.8401785714285716
4,4,0.07703775675704481,0.8666666666666666,0.8375,0.9766129032258066
4,5,0.18636671946060288,0.6825,0.74,0.696764705882353
5,2,0.1430174135759067,0.76,0.76,0.8330769230769232
5,3,0.18650296510075126,0.6866666666666668,0.7066666666666668,0.7502222222222222
5,4,0.08946767847954117,0.8566666666666667,0.8800000000000001,0.8783333333333333
5,5,0.1692966019870316,0.7860000000000001,0.752,0.8724736842105262
6,2,0.14781204712492382,0.7333333333333334,0.7333333333333334,0.8555555555555555
6,3,0.2525067367849173,0.55,0.5555555555555556,0.59375
6,4,0.13102241464992426,0.7444444444444445,0.7583333333333333,0.8233483483483484
6,5,0.13537956111724775,0.7849999999999999,0.8133333333333332,0.7978174603174603
7,2,0.16942565371302343,0.7142857142857143,0.7142857142857143,0.7673469387755103
7,3,0.13987542835478378,0.7761904761904762,0.819047619047619,0.8240896358543417
7,4,0.19465326624523935,0.7166666666666667,0.7214285714285714,0.7528571428571429
7,5,0.1453140539501892,0.7942857142857143,0.8057142857142857,0.8354968944099379
8,2,0.1060274046563086,0.825,0.825,0.8948275862068964
8,3,0.17779271169216931,0.7125,0.7583333333333333,0.7671296296296296
8,4,0.14272005998622753,0.7979166666666668,0.7875,0.864437984496124
8,5,0.22828520690871618,0.6575,0.645,0.6616500000000001
9,2,0.19840448309206007,0.6444444444444445,0.6444444444444445,0.7685185185185185
9,3,0.22574558522666263,0.6703703703703704,0.7037037037037037,0.697953216374269
9,4,0.23515297706161004,0.6129629629629629,0.6222222222222221,0.6510064412238326
9,5,0.23556957841754994,0.7066666666666667,0.7155555555555556,0.70679012345679
10,2,0.26852443837922424,0.51,0.51,0.6474193548387097
10,3,0.17526903060799298,0.7066666666666668,0.7533333333333333,0.8085833333333333
10,4,0.155439481934716,0.7849999999999999,0.7999999999999999,0.788843537414966
10,5,0.19295652020670379,0.711,0.736,0.7472241379310345
