r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.12055894126004929,1.0,1.0,1.0
1,3,0.25913587016940687,1.0,1.0,1.0
1,4,0.2803849883487559,0.8833333333333334,0.8,0.9818181818181818
1,5,0.3404136279656395,0.8,0.8,0.9454545454545453
2,2,0.1801477710994533,1.0,1.0,1.0
2,3,0.3088776631853694,0.9,0.9,0.9
2,4,0.4056282233340468,0.925,0.875,0.9906666666666666
2,5,0.39469350237275524,0.9099999999999999,0.86,0.9663461538461539
3,2,0.29429468825776395,0.8666666666666666,0.8666666666666666,0.9833333333333334
3,3,0.3849493458389651,0.7555555555555554,0.7777777777777778,0.8435897435897436
3,4,0.31869035117556077,0.9333333333333333,0.9333333333333333,0.9795634920634921
3,5,0.4072546063028445,0.9666666666666666,0.9466666666666667,0.9893333333333333
4,2,0.36898189717949365,0.85,0.85,0.891
4,3,0.4814104741133674,0.7916666666666667,0.8,0.9598214285714286
4,4,0.4641334927004147,0.85,0.85,0.9524193548387097
4,5,0.4583432026945545,0.73,0.76,0.7838235294117647
5,2,0.4354959229423166,0.82,0.82,0.9076923076923077
5,3,0.500410657919,0.8600000000000001,0.8533333333333335,0.9795555555555555
5,4,0.4076724249312382,0.8433333333333334,0.8,0.8765686274509804
5,5,0.6546772220451996,0.808,0.744,0.9478947368421051
6,2,0.4929932726067604,0.7666666666666667,0.7666666666666667,0.8506172839506172
6,3,0.6094653716455805,0.6499999999999999,0.6444444444444444,0.7536458333333333
6,4,0.5459720750737909,0.7694444444444445,0.75,0.869069069069069
6,5,0.5667180930198705,0.8016666666666667,0.8466666666666667,0.8553571428571429
7,2,0.447109734877362,0.8285714285714286,0.8285714285714286,0.9581632653061224
7,3,0.4453816186596514,0.8428571428571429,0.8285714285714285,0.9324929971988795
7,4,0.6018103409478595,0.7904761904761906,0.7857142857142858,0.8406547619047618
7,5,0.5426513016415552,0.8528571428571429,0.8571428571428571,0.871335403726708
8,2,0.33787369522787103,0.9125,0.9125,0.9426724137931034
8,3,0.5219031415403071,0.8291666666666668,0.825,0.9181712962962962
8,4,0.5606843643935792,0.8145833333333334,0.8,0.9468992248062016
8,5,0.6250027486709737,0.6275,0.6300000000000001,0.6589
9,2,0.5215495111885107,0.7777777777777778,0.7777777777777778,0.8925925925925926
9,3,0.5384759213984485,0.8111111111111111,0.8148148148148147,0.8790448343079922
9,4,0.612256721925934,0.6888888888888889,0.6944444444444444,0.8194444444444444
9,5,0.62994059042057,0.8177777777777777,0.7866666666666667,0.8993827160493828
10,2,0.6519567748997481,0.63,0.63,0.7603225806451612
10,3,0.5583108940178232,0.8400000000000001,0.8266666666666665,0.9231666666666666
10,4,0.561287723869122,0.8383333333333333,0.85,0.8566666666666667
10,5,0.6265156952654858,0.8089999999999999,0.768,0.8625
