r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.4911937672947436,0.9,0.9,0.9909090909090909
1,3,0.47844976043255727,1.0,1.0,1.0
1,4,0.5258482127931111,0.9333333333333332,0.975,0.9632575757575758
1,5,0.5364472415858781,0.8800000000000001,0.8800000000000001,0.9195454545454546
1,6,0.4541057549978761,1.0,1.0,1.0
1,7,0.5855717416917285,0.9166666666666667,0.9428571428571428,0.9140692640692641
1,8,0.46831377331467544,1.0,1.0,1.0
1,9,0.5957977653886926,1.0,1.0,1.0
1,10,0.6123580463570052,0.918888888888889,0.97,0.9111111111111111
2,2,0.5565276831646042,0.85,0.85,0.9869565217391305
2,3,0.6024261245041249,0.7416666666666667,0.7333333333333333,0.7
2,4,0.5061520840941707,0.9625,0.95,0.9949999999999999
2,5,0.506838134071358,0.925,0.9700000000000001,0.9248076923076924
2,6,0.5986889811480134,0.9566666666666667,0.9583333333333333,0.9564197530864197
2,7,0.7579413785604088,0.7749999999999999,0.8142857142857143,0.8074404761904761
2,8,0.638786568792401,0.9410714285714284,0.9,0.9464593596059114
2,9,0.6172645724425725,0.9368055555555556,0.9,0.9456712962962962
2,10,0.6256417139443495,0.8655555555555555,0.8800000000000001,0.8510035842293906
3,2,0.6291707892578615,0.7166666666666666,0.7166666666666666,0.8534722222222223
3,3,0.4718924811516363,0.9388888888888889,0.9333333333333333,0.954059829059829
3,4,0.6178792874708348,0.9222222222222222,0.9,0.9301587301587302
3,5,0.6023670686389042,0.9833333333333334,0.9666666666666666,0.9977777777777778
3,6,0.6509009306690964,0.9466666666666667,0.961111111111111,0.9464583333333334
3,7,0.6977120841531761,0.8404761904761905,0.8714285714285713,0.8605042016806722
3,8,0.7642050393884154,0.8488095238095237,0.8208333333333332,0.8325396825396826
3,9,0.7352452290965089,0.8231481481481481,0.888888888888889,0.8200048732943468
3,10,0.7390551984237819,0.7477777777777779,0.76,0.7968796296296299
4,2,0.5370656490713704,0.875,0.875,0.875
4,3,0.504974454730036,0.9208333333333334,0.9083333333333334,0.9626488095238095
4,4,0.7566143838335755,0.6541666666666666,0.65625,0.7297043010752688
4,5,0.735308170160396,0.75,0.76,0.7945220588235294
4,6,0.728901691144473,0.885,0.8375,0.9229279279279281
4,7,0.6340542596965173,0.8398809523809524,0.8464285714285715,0.8321130952380953
4,8,0.7364832039444756,0.8379464285714284,0.815625,0.8636627906976745
4,9,0.7241833912160528,0.8079861111111111,0.7861111111111111,0.8178442028985508
4,10,0.7274470740428741,0.9022222222222223,0.8975000000000002,0.9204308390022675
5,2,0.681621727385598,0.7599999999999999,0.7599999999999999,0.9076923076923077
5,3,0.6444822584146939,0.76,0.7666666666666667,0.8376666666666667
5,4,0.6502790054088606,0.8933333333333333,0.9,0.8859803921568628
5,5,0.7819654293776691,0.7220000000000001,0.708,0.7597631578947368
5,6,0.7451190722742049,0.8633333333333333,0.85,0.8779047619047619
5,7,0.701997086961091,0.8471428571428572,0.8257142857142856,0.8572360248447204
5,8,0.7389712492141894,0.7253571428571428,0.6799999999999999,0.7117285714285714
5,9,0.8340565872468328,0.7130555555555556,0.6644444444444444,0.7193775720164608
5,10,0.769650412349052,0.8535555555555556,0.8800000000000001,0.8493218390804598
