r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.22495803089728397,0.8,0.8,0.9681818181818181
1,3,0.038556456761235036,1.0,1.0,1.0
1,4,0.11113763698128565,0.9666666666666666,0.9,0.9954545454545455
1,5,0.21583385365641403,0.875,0.86,0.9650000000000001
1,6,0.027596941811215504,1.0,1.0,1.0
1,7,0.24375897476940364,0.9595238095238094,1.0,0.9602813852813853
1,8,0.05245201854210598,1.0,1.0,1.0
1,9,0.22033999498239948,1.0,1.0,1.0
1,10,0.23009454110809804,0.9522222222222222,0.9800000000000001,0.9497474747474748
2,2,0.29511707160874534,0.85,0.85,0.9597826086956521
2,3,0.31820328906561224,0.8583333333333332,0.8666666666666668,0.8961805555555558
2,4,0.11504281292011787,0.95,0.95,0.9908333333333333
2,5,0.20646022462763494,0.975,0.9600000000000002,0.9865384615384615
2,6,0.10383309967871676,0.9866666666666667,0.9583333333333333,0.988641975308642
2,7,0.5022463374757139,0.8833333333333334,0.95,0.927721088435374
2,8,0.17985771851517035,0.9214285714285715,0.9,0.9409174876847292
2,9,0.20109531005890302,0.920138888888889,0.8666666666666666,0.9459953703703704
2,10,0.2763316726275946,0.9094444444444445,0.8550000000000001,0.9535304659498209
3,2,0.4063155378727152,0.6,0.6,0.9006944444444445
3,3,0.1692451707292107,0.9666666666666666,0.9333333333333333,0.9974358974358974
3,4,0.21101811763699,0.9583333333333333,0.9666666666666666,0.9926587301587301
3,5,0.19277153512818174,0.9650000000000001,0.96,0.9936666666666666
3,6,0.29145202986519286,0.9755555555555556,0.9222222222222222,0.9840972222222222
3,7,0.28742455216421364,0.8595238095238095,0.8809523809523808,0.8783380018674137
3,8,0.383055674893062,0.8994047619047618,0.8375,0.8943452380952379
3,9,0.326566557664324,0.9328703703703705,0.9481481481481481,0.9503654970760232
3,10,0.4133395633204465,0.8111111111111112,0.7466666666666667,0.906314814814815
4,2,0.27842948909522897,0.825,0.825,0.9620000000000001
4,3,0.15279178084328868,0.925,0.875,0.9909226190476191
4,4,0.43517604933440424,0.8020833333333333,0.76875,0.9209677419354838
4,5,0.4013986708987131,0.85625,0.8300000000000001,0.9311764705882354
4,6,0.34162478041080846,0.8516666666666666,0.8,0.925
4,7,0.2275960861997275,0.9333333333333332,0.95,0.9305059523809524
4,8,0.34799374601071736,0.8883928571428571,0.8625,0.9671511627906977
4,9,0.3235355550808842,0.8753472222222222,0.8638888888888889,0.9083635265700483
4,10,0.3280166845646085,0.9097222222222223,0.8799999999999999,0.9233163265306124
5,2,0.37600895814405555,0.78,0.78,0.9430769230769231
5,3,0.3521020574161141,0.7866666666666668,0.7,0.9533333333333334
5,4,0.31684510610625183,0.9083333333333335,0.885,0.9729411764705882
5,5,0.5045201638989365,0.8100000000000002,0.756,0.952078947368421
5,6,0.3668056586686663,0.8733333333333334,0.8366666666666667,0.8924444444444444
5,7,0.338247113200674,0.8733333333333334,0.8657142857142857,0.8986438923395443
5,8,0.40959015780219044,0.8314285714285713,0.8200000000000001,0.8724357142857142
