r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.023673946852628403,1.0,1.0,1.0
1,3,0.3569449179005574,0.6333333333333333,0.6666666666666667,0.7848484848484849
1,4,0.12286750102525572,0.9166666666666666,0.9,0.9681818181818181
1,5,0.168422571468478,0.8,0.8,0.8627272727272727
2,2,0.13608856742955944,0.9,0.9,0.9
2,3,0.3314226604019232,0.6166666666666667,0.6666666666666667,0.7458333333333333
2,4,0.2919080001082327,0.7416666666666667,0.8,0.8290000000000001
2,5,0.26688330668836124,0.75,0.78,0.8701923076923078
3,2,0.28029509303748823,0.6,0.6,0.826388888888889
3,3,0.19725540290526938,0.7666666666666667,0.7333333333333333,0.8585470085470085
3,4,0.2489376524125939,0.7499999999999999,0.7333333333333333,0.841468253968254
3,5,0.25684820324770496,0.7566666666666667,0.7333333333333333,0.8906666666666668
4,2,0.3588636220101425,0.5,0.5,0.744
4,3,0.414116053403678,0.475,0.4333333333333333,0.7273809523809524
4,4,0.3011826473087972,0.5833333333333334,0.5875,0.7783602150537634
4,5,0.2915360694003925,0.6849999999999999,0.6699999999999999,0.8641176470588234
5,2,0.3488617300676909,0.52,0.52,0.7076923076923076
5,3,0.374427585990612,0.5,0.4533333333333333,0.7415555555555555
5,4,0.32851789077462934,0.6166666666666666,0.64,0.7812745098039215
5,5,0.3467776095500207,0.506,0.4960000000000001,0.7768947368421053
6,2,0.3097178827708958,0.4666666666666666,0.4666666666666666,0.8253086419753085
6,3,0.40154699117867054,0.4333333333333334,0.4222222222222222,0.7762152777777779
6,4,0.34919090230193606,0.5027777777777779,0.4833333333333333,0.7472972972972973
6,5,0.33609334253135115,0.5633333333333332,0.5533333333333333,0.7992460317460317
7,2,0.37244131277445325,0.45714285714285713,0.45714285714285713,0.6831632653061225
7,3,0.28477072522829877,0.6,0.5714285714285714,0.8085434173669468
7,4,0.3489547949050661,0.480952380952381,0.45,0.7966666666666666
7,5,0.289853052273571,0.6528571428571428,0.6457142857142857,0.8889440993788819
8,2,0.2500095978672068,0.6625,0.6625,0.7806034482758621
8,3,0.35102301882479886,0.4708333333333334,0.4833333333333333,0.7638888888888891
8,4,0.3031714836614073,0.5583333333333333,0.55,0.7883720930232558
8,5,0.3112284445079429,0.5662499999999999,0.5599999999999999,0.8265
9,2,0.36955405112517903,0.4666666666666667,0.4666666666666667,0.7348148148148148
9,3,0.3432746152696939,0.4962962962962963,0.47407407407407404,0.7387914230019493
9,4,0.3248842924626546,0.5018518518518519,0.47222222222222215,0.7859903381642511
9,5,0.32801814558201464,0.4666666666666667,0.4533333333333333,0.8324691358024691
10,2,0.44064398664085447,0.33999999999999997,0.33999999999999997,0.632258064516129
10,3,0.3465906700672976,0.48,0.45999999999999996,0.7215000000000001
10,4,0.30289092683131236,0.5783333333333334,0.5599999999999999,0.8353401360544218
10,5,0.30583137147692796,0.518,0.484,0.8062586206896551
