r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.186338502716655e-05,1.0,1.0,1.0
1,3,5.054153045460641e-05,1.0,1.0,1.0
1,4,3.3624357750857333e-06,1.0,1.0,1.0
1,5,7.788579833623021e-06,1.0,1.0,1.0
2,2,5.707364564375705e-05,1.0,1.0,1.0
2,3,0.00019090228338043415,0.9,0.9333333333333333,0.9833333333333332
2,4,8.907188045392255e-05,0.975,1.0,0.9972222222222221
2,5,0.027802667669939773,1.0,1.0,1.0
3,2,0.38435841567694473,0.6666666666666666,0.6666666666666666,0.7166666666666666
3,3,0.03604225148914213,0.9666666666666668,0.9777777777777779,0.9955555555555555
3,4,0.13341274630896033,0.8666666666666666,0.8666666666666666,0.8666666666666666
3,5,0.19178875618393085,0.8633333333333333,0.8400000000000001,0.8626190476190476
4,2,0.249444808074897,0.75,0.75,0.788888888888889
4,3,0.2589420175901842,0.725,0.7333333333333333,0.7805555555555556
4,4,0.018973871089507176,0.9708333333333334,0.9875,0.9969444444444445
4,5,0.16908790971680335,0.8875,0.9,0.8977777777777778
5,2,0.1601789431932184,0.8400000000000001,0.8400000000000001,0.8400000000000001
5,3,0.29003783412533957,0.7,0.7066666666666667,0.7466666666666667
5,4,0.1959819666764093,0.79,0.8,0.8305555555555555
5,5,0.2963557493088308,0.708,0.712,0.7474545454545456
6,2,0.31519948856399005,0.7,0.7,0.7696969696969697
6,3,0.33758344732396356,0.6166666666666666,0.6222222222222221,0.7131944444444444
6,4,0.324986523320418,0.6222222222222222,0.625,0.7132275132275132
6,5,0.331100591158794,0.655,0.6599999999999999,0.7167948717948718
7,2,0.4063423619923411,0.5714285714285714,0.5714285714285714,0.6904761904761906
7,3,0.38684914698388123,0.5714285714285714,0.5714285714285714,0.6904761904761906
7,4,0.36895465501852825,0.5714285714285714,0.5714285714285714,0.6904761904761906
7,5,0.36078116950575634,0.5642857142857143,0.5714285714285714,0.6854761904761906
