r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3921040204884424,1.0,1.0,1.0
1,3,0.3201236810351979,0.9666666666666666,0.9333333333333333,0.9888888888888889
1,4,0.34566954468853567,1.0,1.0,1.0
1,5,0.3853300227062297,0.99,1.0,0.9983333333333334
2,2,0.16515039598725084,1.0,1.0,1.0
2,3,0.28943790382565326,0.95,0.9333333333333333,0.9895833333333334
2,4,0.13744660923589827,0.9,0.925,0.9787037037037036
2,5,0.439172055253382,0.7700000000000001,0.72,0.8305
3,2,0.47249022034498206,0.5333333333333333,0.5333333333333333,0.7083333333333333
3,3,0.40500225176885385,0.6333333333333334,0.6444444444444445,0.8066666666666666
3,4,0.5201992558973464,0.7,0.6666666666666666,0.7763888888888888
3,5,0.5166253886814892,0.74,0.7466666666666667,0.8030952380952382
4,2,0.42755223076321824,0.575,0.575,0.7722222222222221
4,3,0.5502778506305969,0.4083333333333334,0.41666666666666663,0.6048611111111111
4,4,0.5417573804409518,0.55,0.5,0.6605555555555556
4,5,0.5797234602377539,0.47000000000000003,0.45,0.576388888888889
5,2,0.3735437116958491,0.6,0.6,0.7959999999999999
5,3,0.4469561749365908,0.47333333333333344,0.5200000000000001,0.6814285714285715
5,4,0.44442001186439234,0.47333333333333333,0.5,0.6709259259259259
5,5,0.6742135669490341,0.458,0.43200000000000005,0.5539999999999999
6,2,0.43712024913874625,0.5,0.5,0.687878787878788
6,3,0.5176703275312551,0.45555555555555555,0.4444444444444445,0.6305555555555555
6,4,0.610473371986156,0.4444444444444445,0.4416666666666666,0.6084656084656086
6,5,0.7257710903109934,0.4666666666666667,0.4533333333333333,0.5876923076923077
7,2,0.43819456192571776,0.5,0.5,0.6726190476190477
7,3,0.5385631098301719,0.42857142857142855,0.42857142857142855,0.6124338624338624
7,4,0.6590141386381146,0.42857142857142855,0.42857142857142855,0.6031746031746031
7,5,0.755621147162889,0.45,0.45714285714285713,0.5850000000000001
