r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.001991568353860293,1.0,1.0,1.0
1,3,0.0070888258337151846,0.9,0.9333333333333333,0.9777777777777779
1,4,0.0019147560737120127,0.95,0.95,0.986111111111111
1,5,0.003983013252584717,0.96,0.96,0.9866666666666667
2,2,0.002353586698529482,0.85,0.85,0.9785714285714284
2,3,0.008983846896848396,0.8,0.8666666666666668,0.9666666666666666
2,4,0.001905296874531928,0.8166666666666667,0.85,0.9490740740740742
2,5,0.1925660025393937,0.93,0.86,0.9789999999999999
3,2,0.3489361820210357,0.6333333333333333,0.6333333333333333,0.7208333333333334
3,3,0.1348504881937768,0.7555555555555555,0.8222222222222222,0.9488888888888889
3,4,0.18769173543070436,0.8388888888888889,0.8666666666666666,0.8625
3,5,0.21246939351692315,0.7866666666666667,0.8,0.8402380952380952
4,2,0.23434807349350945,0.725,0.725,0.7916666666666667
4,3,0.3116379865746902,0.75,0.7666666666666666,0.7944444444444445
4,4,0.17246262148684777,0.9458333333333332,0.9625,0.9927777777777779
4,5,0.2959197110319557,0.8074999999999999,0.77,0.8780555555555555
5,2,0.16810102207253017,0.6599999999999999,0.6599999999999999,0.8220000000000001
5,3,0.26595716225598276,0.54,0.5866666666666667,0.721904761904762
5,4,0.24683168239871106,0.6333333333333333,0.6399999999999999,0.8025925925925927
5,5,0.32686303079039086,0.69,0.632,0.7440909090909091
6,2,0.2711750572843854,0.6500000000000001,0.6500000000000001,0.7863636363636364
6,3,0.2949210036977229,0.5833333333333334,0.6111111111111112,0.7107638888888889
6,4,0.322507003238951,0.5861111111111111,0.575,0.710978835978836
6,5,0.3361607140130102,0.6083333333333333,0.5333333333333333,0.7084615384615385
7,2,0.31337226793512757,0.5714285714285714,0.5714285714285714,0.7023809523809523
7,3,0.31754055501037187,0.5476190476190477,0.5714285714285714,0.6891534391534392
7,4,0.3433895458948533,0.5357142857142857,0.5,0.6889880952380951
7,5,0.3548175074535637,0.5571428571428572,0.4857142857142857,0.6861904761904762
