r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6416959922904064,1.0,1.0,1.0
1,3,0.5081221538614437,0.9666666666666666,0.9333333333333333,0.9888888888888889
1,4,0.5283988942375153,0.9666666666666666,1.0,0.9944444444444445
1,5,0.538172372661524,0.99,1.0,0.9949999999999999
2,2,0.2554408707100603,1.0,1.0,1.0
2,3,0.4240720663212166,0.95,0.9333333333333333,0.9895833333333334
2,4,0.20712527902004152,0.8833333333333332,0.925,0.9740740740740741
2,5,0.5840843627462821,0.755,0.76,0.7855
3,2,0.5793669728787544,0.5333333333333333,0.5333333333333333,0.5333333333333333
3,3,0.5235590469802663,0.6111111111111112,0.6444444444444445,0.7088888888888889
3,4,0.6826848955716217,0.7055555555555555,0.65,0.7236111111111111
3,5,0.6538229780650147,0.7566666666666666,0.7333333333333334,0.780952380952381
4,2,0.5613002988675869,0.575,0.575,0.6416666666666667
4,3,0.6613499251175045,0.4083333333333334,0.4,0.4444444444444445
4,4,0.6662939701322024,0.5375,0.5,0.5897222222222223
4,5,0.6857922687052136,0.5449999999999999,0.4600000000000001,0.5330555555555555
5,2,0.4915396853988067,0.6,0.6,0.672
5,3,0.548806431196584,0.4666666666666666,0.5066666666666666,0.6104761904761904
5,4,0.5410906812306465,0.4766666666666667,0.5,0.6053703703703703
5,5,0.7762717254040921,0.488,0.44000000000000006,0.5086363636363636
6,2,0.5467868580715146,0.5,0.5,0.5575757575757576
6,3,0.6159671292387608,0.43888888888888894,0.4333333333333333,0.546875
6,4,0.7157812019426121,0.4416666666666667,0.4416666666666666,0.5455026455026456
6,5,0.8142242987613514,0.5000000000000001,0.49333333333333335,0.5524358974358974
7,2,0.5489887586190326,0.5,0.5,0.5595238095238095
7,3,0.6351976883591469,0.42857142857142855,0.42857142857142855,0.548941798941799
7,4,0.7533213664924769,0.4166666666666667,0.42857142857142855,0.5471230158730159
7,5,0.8244758667402475,0.4857142857142857,0.4857142857142857,0.5569047619047619
