r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2491342403061938,1.0,1.0,1.0
1,3,0.2471279855175011,0.9,0.8,0.9666666666666666
1,4,0.28110024831891234,0.8666666666666666,0.6,0.9333333333333333
1,5,0.3132998385009305,0.95,0.8,0.9666666666666668
2,2,0.239638001338758,0.7,0.7,0.9428571428571428
2,3,0.2515607866141468,0.8166666666666667,0.7,0.9583333333333334
2,4,0.21227071609629783,0.7666666666666666,0.525,0.9120370370370372
2,5,0.4121117410311645,0.725,0.5,0.82
3,2,0.5410951551953356,0.6,0.6,0.7083333333333333
3,3,0.37657018838092976,0.6666666666666666,0.6,0.86
3,4,0.3963811461952177,0.7777777777777779,0.6666666666666666,0.8722222222222221
3,5,0.3635090713736203,0.74,0.6533333333333333,0.8504761904761905
4,2,0.4053194886940662,0.6,0.6,0.8416666666666666
4,3,0.5084321341063417,0.7083333333333333,0.7,0.7861111111111111
4,4,0.3933630000149974,0.8666666666666666,0.7375,0.9341666666666668
4,5,0.49806124954008907,0.6174999999999999,0.44000000000000006,0.7799999999999999
5,2,0.38591714616745376,0.68,0.68,0.8560000000000001
5,3,0.4672327262969477,0.5066666666666666,0.5199999999999999,0.7828571428571429
5,4,0.38610026655770124,0.6499999999999999,0.62,0.8703703703703705
5,5,0.4801075946004203,0.684,0.608,0.7901818181818182
6,2,0.4465755423620396,0.6333333333333333,0.6333333333333333,0.8242424242424244
6,3,0.4630428293476889,0.6055555555555556,0.6,0.7930555555555554
6,4,0.46817074353145854,0.6194444444444445,0.5833333333333334,0.7962962962962964
6,5,0.4841123369608663,0.6066666666666667,0.56,0.7692948717948718
7,2,0.4653706665722786,0.5714285714285714,0.5714285714285714,0.7857142857142857
7,3,0.4818158301368788,0.5714285714285714,0.5714285714285714,0.761904761904762
7,4,0.4870578646819858,0.5833333333333333,0.5714285714285714,0.7628968253968254
7,5,0.4905827859435977,0.55,0.5142857142857142,0.7592857142857142
