r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.48266518965726873,0.42857142857142855,0.42857142857142855,0.6666666666666666
1,3,0.4370394092714217,0.5952380952380952,0.6666666666666666,0.8531746031746031
1,4,0.452260180648823,0.8571428571428571,0.8214285714285714,0.9325396825396826
1,5,0.4554428892537886,0.8785714285714284,0.7428571428571429,0.9238095238095239
1,6,0.44846279049488974,0.9523809523809524,0.9047619047619049,0.9730158730158729
1,7,0.42754860342782003,0.9557823129251701,0.9591836734693878,0.9835600907029479
1,8,0.43761432020716906,0.9617346938775511,0.9821428571428571,0.9817176870748299
1,9,0.44349641136150375,0.9861111111111113,1.0,0.9920634920634921
1,10,0.430948279668175,0.9793650793650794,0.9857142857142858,0.9814814814814815
2,2,0.5226610943665022,0.3,0.3,0.5535714285714286
2,3,0.524092688562144,0.4833333333333333,0.5,0.7989583333333332
2,4,0.4967179704028661,0.7166666666666667,0.65,0.8962962962962964
2,5,0.48493954769879305,0.7875,0.73,0.9172500000000001
2,6,0.4854463763577222,0.8283333333333334,0.7666666666666666,0.9286363636363635
2,7,0.3793468821419853,0.8761904761904763,0.8571428571428573,0.950297619047619
2,8,0.4163539581048049,0.7973214285714285,0.725,0.8923763736263736
2,9,0.47215830843529866,0.7611111111111112,0.65,0.8498015873015875
2,10,0.43729393641460035,0.9116666666666668,0.95,0.951
3,2,0.5434382997670113,0.26666666666666666,0.26666666666666666,0.5541666666666666
3,3,0.5132680950449313,0.4611111111111111,0.4111111111111111,0.8094444444444445
3,4,0.44426730160076283,0.625,0.525,0.888425925925926
3,5,0.46221145766942245,0.6616666666666667,0.5666666666666667,0.8932142857142857
3,6,0.42431207128723025,0.6955555555555556,0.5666666666666667,0.8996527777777776
3,7,0.4107170764494228,0.6928571428571428,0.6523809523809524,0.8891534391534389
3,8,0.46113350585258345,0.7416666666666666,0.6541666666666666,0.8780952380952382
3,9,0.43128772039319474,0.6717592592592592,0.5814814814814814,0.8557449494949495
3,10,0.4426910756857385,0.6751851851851853,0.6333333333333333,0.8461265432098765
4,2,0.4832148361437877,0.3125,0.3125,0.5958333333333334
4,3,0.46900428043941034,0.4166666666666667,0.4,0.8031250000000002
4,4,0.43747728899166294,0.5250000000000001,0.39375,0.866388888888889
4,5,0.4602617421291339,0.5325,0.395,0.8613194444444444
4,6,0.4517152547205203,0.5349999999999999,0.36249999999999993,0.8515079365079365
4,7,0.4098587933394723,0.5988095238095238,0.475,0.8628472222222223
4,8,0.39231958697568314,0.6205357142857142,0.45625,0.8713128306878305
4,9,0.40291641486783264,0.596875,0.5416666666666667,0.8433217592592592
4,10,0.3934548526692222,0.6275000000000002,0.4925,0.8531397306397304
5,2,0.5292371906257071,0.32,0.32,0.5389999999999999
5,3,0.4937800057775238,0.3833333333333333,0.3333333333333333,0.7652380952380952
5,4,0.4258507102868367,0.45999999999999996,0.40499999999999997,0.8570370370370372
5,5,0.4103554894915156,0.471,0.372,0.8622272727272726
5,6,0.41980631283470604,0.5353333333333333,0.38666666666666666,0.8647179487179486
5,7,0.3924321175857761,0.5314285714285715,0.3999999999999999,0.8646507936507936
5,8,0.38556006200785653,0.5867857142857142,0.39749999999999996,0.8757983193277308
5,9,0.36848411762251787,0.6083333333333333,0.5066666666666666,0.8743786549707602
5,10,0.39822322149718126,0.5806666666666667,0.484,0.8502962962962963
6,2,0.5619387964062236,0.32142857142857134,0.32142857142857134,0.501082251082251
6,3,0.4829921399295592,0.30158730158730157,0.2619047619047619,0.7842261904761905
6,4,0.43025907277253184,0.380952380952381,0.34523809523809523,0.8384353741496599
6,5,0.4049022623451606,0.39642857142857146,0.3190476190476191,0.8496794871794873
6,6,0.39424072043022873,0.4603174603174602,0.3611111111111111,0.8499231950844852
6,7,0.385256919429374,0.5034013605442177,0.3503401360544217,0.8568751574703954
6,8,0.38215903421035413,0.48979591836734687,0.3869047619047619,0.8500601460096237
6,9,0.3778398692421517,0.5092592592592593,0.417989417989418,0.8456119162640902
6,10,0.37938891901092536,0.512169312169312,0.4547619047619048,0.8440865234982878
7,2,0.5455135678818397,0.35714285714285715,0.35714285714285715,0.45833333333333337
7,3,0.4617780118515104,0.30952380952380953,0.2857142857142857,0.7936507936507936
7,4,0.4350936006114218,0.3095238095238095,0.25,0.8258928571428571
7,5,0.4080926724290008,0.3357142857142857,0.2857142857142857,0.8359523809523811
7,6,0.4044519545009768,0.48095238095238074,0.38095238095238093,0.8498677248677249
7,7,0.3975374518509227,0.46258503401360546,0.30612244897959184,0.8446712018140587
7,8,0.35767884740317485,0.4056122448979592,0.2857142857142857,0.8371067176870749
7,9,0.38774019618805966,0.42658730158730157,0.42857142857142855,0.8372648442092886
7,10,0.39275685533317783,0.42380952380952375,0.37142857142857144,0.8295502645502647
