r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5713590393642775,0.0,0.0,0.6428571428571429
1,3,0.6095290092125003,0.047619047619047616,0.0,0.603174603174603
1,4,0.6080220803806069,0.2857142857142857,0.0,0.6230158730158729
1,5,0.6130862556139834,0.46428571428571425,0.0,0.6166666666666666
1,6,0.6348677006967561,0.5380952380952381,0.0,0.6079365079365079
1,7,0.6363836749800021,0.58843537414966,0.0,0.6014739229024945
1,8,0.6372323206920301,0.6548833819241983,0.0,0.6121031746031748
1,9,0.6054131020787853,0.6975623582766438,0.0,0.6069538926681782
1,10,0.6203193600944029,0.7285714285714286,0.0,0.6138321995464849
2,2,0.5860485779331296,0.0,0.0,0.6428571428571428
2,3,0.5754605703223978,0.18333333333333332,0.1,0.7041666666666667
2,4,0.5518778347151709,0.4458333333333333,0.1625,0.7912037037037036
2,5,0.5110679831215517,0.615,0.36,0.8145
2,6,0.5830961782659424,0.5516666666666666,0.2,0.761060606060606
2,7,0.5632702540423031,0.6083333333333332,0.2,0.7622023809523808
2,8,0.6886847797942267,0.5305357142857143,0.03125,0.6956043956043956
2,9,0.49422560380987174,0.724826388888889,0.26111111111111107,0.826245984504913
2,10,0.5545549998306403,0.6895424836601307,0.09,0.7992738095238092
3,2,0.524198406029243,0.03333333333333333,0.03333333333333333,0.7041666666666667
3,3,0.5138537594532944,0.3,0.16666666666666666,0.7638888888888888
3,4,0.49837781306605067,0.5333333333333333,0.35833333333333334,0.7972222222222223
3,5,0.4944638573545347,0.625,0.42000000000000004,0.8333333333333334
3,6,0.5559604682124213,0.5933333333333334,0.31666666666666665,0.8231944444444445
3,7,0.6023605597151753,0.5785714285714285,0.18095238095238092,0.8007054673721339
3,8,0.5598803633867965,0.5906055900621118,0.29637681159420287,0.8067047827903091
3,9,0.48406130275443787,0.6985370370370371,0.38637037037037036,0.8350231481481479
3,10,0.49330024551783,0.7037037037037038,0.39629629629629626,0.8194223985890652
4,2,0.5322088910716157,0.15,0.15,0.7347222222222222
4,3,0.5026169767646864,0.2833333333333333,0.2666666666666667,0.7802083333333332
4,4,0.46589719316809963,0.5979166666666667,0.50625,0.8425
4,5,0.5163244198984553,0.58125,0.44000000000000006,0.8288194444444444
4,6,0.47847171448237374,0.655,0.5083333333333333,0.8494444444444443
4,7,0.530679127224788,0.5970238095238095,0.41071428571428575,0.8200644841269842
4,8,0.4893476424144735,0.662528801843318,0.5065524193548387,0.8379761056844389
4,9,0.44688810550945074,0.7318423202614379,0.584640522875817,0.8442278439153441
4,10,0.5412124502688842,0.6302552552552553,0.37189189189189187,0.7991682299182299
5,2,0.4993679448067006,0.12,0.12,0.756
5,3,0.50076022638629,0.36,0.33333333333333337,0.8257142857142856
5,4,0.5056851641938196,0.5483333333333333,0.4250000000000001,0.8282407407407408
5,5,0.5389194082742461,0.5259999999999999,0.38,0.8166818181818183
5,6,0.5224293782119915,0.6046666666666667,0.47000000000000003,0.8255128205128205
5,7,0.48099006264449395,0.6833333333333333,0.5514285714285714,0.8560317460317458
5,8,0.5084848181825601,0.6568131868131868,0.5064102564102564,0.8197937356760884
5,9,0.5052764575819387,0.6394832041343669,0.49881136950904387,0.8081790703610878
5,10,0.5045302495064166,0.6621276595744681,0.5185106382978724,0.8227430083144368
6,2,0.4677994047275857,0.21428571428571425,0.21428571428571425,0.803030303030303
6,3,0.44880297594952573,0.5198412698412699,0.47619047619047616,0.8802083333333333
6,4,0.4884377389752464,0.5972222222222222,0.5238095238095238,0.8550642479213908
6,5,0.47875985168572194,0.6333333333333334,0.5619047619047618,0.8487179487179486
6,6,0.4900218591368039,0.6523809523809525,0.5833333333333333,0.8478494623655913
6,7,0.47899611636350337,0.6780045351473925,0.5952380952380952,0.8459939531368103
6,8,0.48097494309600003,0.6744916051526993,0.5721884498480243,0.8274793809800344
6,9,0.4729877703419877,0.7005367317867318,0.6218966218966219,0.8290553979606774
6,10,0.4523703116246409,0.715566694514063,0.6505012531328321,0.8298585637958887
7,2,0.44596692088959106,0.21428571428571427,0.21428571428571427,0.8273809523809526
7,3,0.43379813999092515,0.5952380952380952,0.5238095238095238,0.9007936507936509
7,4,0.4796581527172035,0.6309523809523812,0.5714285714285714,0.8596230158730159
7,5,0.46716973310369714,0.6571428571428571,0.6,0.8523809523809522
7,6,0.4726775178120885,0.6857142857142856,0.6428571428571429,0.852116402116402
7,7,0.4616853009554042,0.7040816326530612,0.6530612244897959,0.8453190800129573
7,8,0.4533058758356846,0.6987012987012986,0.6363636363636364,0.8233659598591211
7,9,0.44874036277383744,0.7274590163934426,0.7049180327868853,0.8219149126887223
7,10,0.42424374641638796,0.7396351575456055,0.7164179104477612,0.8225046743843736
