r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8593419137646622,0.0,0.0,0.45
1,3,0.8721037899099591,0.06666666666666667,0.0,0.5111111111111111
1,4,0.8783760845437886,0.25,0.0,0.4749999999999999
1,5,0.8621222594355068,0.3,0.0,0.4783333333333332
2,2,0.7971980224105266,0.0,0.0,0.5571428571428572
2,3,0.7376170782169069,0.13333333333333333,0.03333333333333333,0.6062500000000001
2,4,0.7528794341529356,0.2666666666666667,0.075,0.5925925925925927
2,5,0.8785542329614235,0.19,0.0,0.4335
3,2,0.8180483014873483,0.0,0.0,0.5708333333333333
3,3,0.8278950264845678,0.08888888888888888,0.0,0.5822222222222222
3,4,0.7776317848757311,0.2777777777777778,0.15,0.6180555555555556
3,5,0.8517160561038267,0.27,0.10666666666666666,0.6311904761904762
4,2,0.8092133264472853,0.0,0.0,0.538888888888889
4,3,0.7656526152841228,0.075,0.08333333333333333,0.5784722222222223
4,4,0.8568422726236813,0.10416666666666667,0.0125,0.6261111111111111
4,5,0.7966743459777443,0.25000000000000006,0.13999999999999999,0.6030555555555556
5,2,0.7845365461197102,0.0,0.0,0.5780000000000001
5,3,0.8194239223105673,0.04666666666666667,0.026666666666666665,0.667142857142857
5,4,0.8283450813334449,0.1333333333333333,0.05,0.644074074074074
5,5,0.7624701224693575,0.254,0.2,0.6975454545454547
6,2,0.7810199301795266,0.0,0.0,0.6181818181818182
6,3,0.7982393172122821,0.044444444444444446,0.04444444444444444,0.6611111111111112
6,4,0.769753932042256,0.175,0.125,0.7039682539682539
6,5,0.7372203718322194,0.30166666666666664,0.23333333333333334,0.7090384615384616
7,2,0.773078643842993,0.0,0.0,0.6369047619047619
7,3,0.7737582041690335,0.047619047619047616,0.09523809523809523,0.6785714285714286
7,4,0.7543500281798466,0.23809523809523805,0.17857142857142858,0.7098214285714286
7,5,0.7360715801380869,0.3357142857142857,0.22857142857142856,0.7138095238095239
