r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.24008692261081838,0.2,0.2,0.6833333333333333
1,3,0.20717930795060396,0.5666666666666667,0.3333333333333333,0.8222222222222223
1,4,0.21659357663595538,0.7,0.85,0.8194444444444444
1,5,0.10715109037559767,0.8300000000000001,0.8,0.8866666666666667
2,2,0.29499746701558005,0.15,0.15,0.7714285714285716
2,3,0.19412555980147642,0.65,0.5666666666666667,0.8979166666666666
2,4,0.18598968727517318,0.7416666666666666,0.8,0.8768518518518519
2,5,0.3532238591360807,0.515,0.58,0.6475000000000001
3,2,0.2825879494215871,0.2,0.2,0.7458333333333333
3,3,0.2570407252058383,0.5222222222222223,0.5333333333333334,0.7944444444444445
3,4,0.2610249241736023,0.7166666666666666,0.8,0.8643518518518519
3,5,0.27928889351779573,0.6633333333333333,0.64,0.7845238095238095
4,2,0.2654524395047374,0.2,0.2,0.7694444444444444
4,3,0.2168928520654872,0.675,0.6333333333333333,0.8520833333333334
4,4,0.2798083019301047,0.5375000000000001,0.6,0.8169444444444445
4,5,0.28894406949814017,0.6924999999999999,0.7100000000000001,0.7923611111111111
5,2,0.26232738022434543,0.22000000000000003,0.22000000000000003,0.8099999999999999
5,3,0.3137109420372918,0.5466666666666666,0.5333333333333334,0.8209523809523809
5,4,0.304237074353323,0.6900000000000001,0.74,0.8238888888888889
5,5,0.2472789003531437,0.6859999999999999,0.752,0.8560909090909092
6,2,0.2736324712917305,0.18333333333333332,0.18333333333333332,0.8151515151515152
6,3,0.321192751938137,0.5888888888888889,0.6222222222222222,0.8
6,4,0.29135731587805525,0.7222222222222223,0.7583333333333333,0.8396825396825397
6,5,0.29106884177045034,0.7733333333333334,0.8133333333333335,0.8283333333333331
7,2,0.27780123567986326,0.21428571428571427,0.21428571428571427,0.8214285714285714
7,3,0.3481932730920074,0.5952380952380952,0.5714285714285714,0.7817460317460317
7,4,0.32504663157484087,0.7023809523809524,0.6785714285714286,0.8065476190476192
7,5,0.32244624939089733,0.7428571428571429,0.8,0.8
