r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.24379918731758848,0.2,0.2,0.6833333333333333
1,3,0.21097104417791374,0.4999999999999999,0.3333333333333333,0.8111111111111111
1,4,0.21714682825391005,0.7,0.85,0.8194444444444444
1,5,0.10905453099045795,0.8300000000000001,0.8,0.8866666666666667
2,2,0.2977545267933377,0.15,0.15,0.7571428571428571
2,3,0.1975857166085843,0.6166666666666666,0.5333333333333333,0.8854166666666666
2,4,0.1873096864558759,0.7416666666666666,0.8,0.8777777777777779
2,5,0.3546878611696109,0.515,0.58,0.647
3,2,0.284555999631783,0.2,0.2,0.7291666666666666
3,3,0.2588288740558145,0.5111111111111112,0.5333333333333334,0.788888888888889
3,4,0.26281700426417365,0.7166666666666666,0.8166666666666668,0.8657407407407407
3,5,0.2809080776032643,0.6633333333333333,0.64,0.7845238095238095
4,2,0.26966572820411433,0.2,0.2,0.7527777777777778
4,3,0.21904194927135062,0.6416666666666667,0.6000000000000001,0.8444444444444444
4,4,0.2805745652165497,0.5375000000000001,0.6125,0.8180555555555558
4,5,0.2902536666327001,0.7074999999999999,0.72,0.7940277777777778
5,2,0.26648242916345743,0.22000000000000003,0.22000000000000003,0.8019999999999999
5,3,0.31568748929974344,0.5333333333333334,0.5200000000000001,0.819047619047619
5,4,0.30520489688849295,0.6933333333333334,0.74,0.8242592592592594
5,5,0.24825590657733249,0.692,0.752,0.8564545454545455
6,2,0.2773451973116075,0.18333333333333332,0.18333333333333332,0.809090909090909
6,3,0.3229567289003544,0.5777777777777777,0.5666666666666667,0.7961805555555556
6,4,0.2922301082912157,0.7250000000000001,0.7583333333333333,0.8399470899470899
6,5,0.29165501685491735,0.7733333333333334,0.8133333333333335,0.8283974358974359
7,2,0.28175844988412246,0.21428571428571427,0.21428571428571427,0.8214285714285714
7,3,0.3498732794290099,0.5952380952380952,0.5714285714285714,0.7817460317460317
7,4,0.32590236519274407,0.7023809523809524,0.6785714285714286,0.8065476190476192
7,5,0.3229882737707075,0.7428571428571429,0.8,0.8
