r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9250996244934176,0.1,0.1,0.18333333333333332
1,3,0.928671051168694,0.3,0.3333333333333333,0.25555555555555554
1,4,0.9343538389623574,0.1833333333333333,0.15,0.1833333333333333
1,5,0.9473518462579605,0.32999999999999996,0.27999999999999997,0.2666666666666666
2,2,0.9315473474022481,0.1,0.1,0.1
2,3,0.9589047162339364,0.21666666666666665,0.29999999999999993,0.3375
2,4,0.9511226131197775,0.1583333333333333,0.125,0.2527777777777778
2,5,0.9483716871511442,0.22999999999999998,0.16,0.23399999999999999
3,2,0.9398995782283931,0.1,0.1,0.1625
3,3,0.9535394067391685,0.11111111111111112,0.15555555555555556,0.22888888888888892
3,4,0.9674966557824567,0.1277777777777778,0.16666666666666666,0.19166666666666668
3,5,0.971459172140982,0.15333333333333335,0.16,0.11952380952380952
4,2,0.9597203740483555,0.125,0.125,0.18888888888888888
4,3,0.9686370990325042,0.2,0.21666666666666665,0.33402777777777776
4,4,0.9742109449918471,0.10416666666666666,0.0875,0.07
4,5,0.9873677070068945,0.20750000000000002,0.15,0.24541666666666667
5,2,0.9656638238011309,0.08,0.08,0.186
5,3,0.9802937708354434,0.15333333333333332,0.2,0.17714285714285719
5,4,0.9900827029601971,0.06999999999999999,0.09000000000000001,0.1287037037037037
5,5,0.9898416152478935,0.1,0.12,0.1390909090909091
6,2,0.9714056514577113,0.08333333333333333,0.08333333333333333,0.13636363636363635
6,3,0.9880300623971262,0.11111111111111112,0.13333333333333333,0.22222222222222224
6,4,0.9951578113407944,0.06388888888888888,0.08333333333333333,0.1378306878306878
6,5,0.9962922705566253,0.07833333333333332,0.08,0.16852564102564102
7,2,0.9790431264109705,0.07142857142857142,0.07142857142857142,0.14285714285714285
7,3,0.9952012377404922,0.09523809523809523,0.14285714285714285,0.2275132275132275
7,4,0.9977292639631149,0.05952380952380952,0.07142857142857142,0.1443452380952381
7,5,0.9983828703727682,0.06428571428571428,0.08571428571428572,0.14857142857142863
