r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.009890265251765368,0.6,0.6,0.8333333333333334
1,3,0.12111936944853899,0.5666666666666667,0.5999999999999999,0.7722222222222223
1,4,0.07729742064778705,0.6333333333333333,0.7,0.763888888888889
1,5,0.004918036440816555,0.75,0.76,0.8733333333333334
2,2,0.014315202299516171,0.5,0.5,0.7571428571428571
2,3,0.00012052579020626734,0.75,0.6,0.8791666666666667
2,4,0.022459146731305463,0.8166666666666667,0.95,0.9324074074074075
2,5,0.09993293522736864,0.615,0.72,0.774
3,2,0.019005961223465172,0.3333333333333333,0.3333333333333333,0.8083333333333332
3,3,0.09685717645085826,0.611111111111111,0.6,0.8222222222222222
3,4,0.09885071101791638,0.7388888888888889,0.8333333333333334,0.8699074074074075
3,5,0.06005732857296685,0.7366666666666666,0.7466666666666667,0.8447619047619048
4,2,0.019496071078478887,0.5,0.5,0.8472222222222223
4,3,0.04391135405629988,0.7,0.8333333333333334,0.8902777777777777
4,4,0.06887415425307356,0.675,0.7625,0.8716666666666667
4,5,0.06115367063504366,0.725,0.79,0.8818055555555555
5,2,0.012943654278042305,0.62,0.62,0.86
5,3,0.10188898878045868,0.5066666666666666,0.5333333333333334,0.8047619047619048
5,4,0.05305805493642194,0.5999999999999999,0.69,0.8538888888888888
5,5,0.02348804110386175,0.6980000000000001,0.744,0.8780000000000001
6,2,0.005243556938591834,0.4833333333333333,0.4833333333333333,0.7666666666666667
6,3,0.07837625698780089,0.5555555555555556,0.6555555555555556,0.8583333333333334
6,4,0.04850059122111135,0.6555555555555554,0.7250000000000001,0.8857142857142858
6,5,0.043606085828840846,0.6566666666666667,0.7466666666666667,0.8830769230769231
7,2,0.005586577599442434,0.35714285714285715,0.35714285714285715,0.7023809523809524
7,3,0.07062643009470292,0.5,0.6666666666666666,0.8505291005291006
7,4,0.056407310427099386,0.619047619047619,0.75,0.8660714285714286
7,5,0.04747501953001442,0.6142857142857143,0.7428571428571429,0.8785714285714287
