r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7798408264447059,0.0,0.0,0.36666666666666664
1,3,0.639621208961511,0.23333333333333334,0.3333333333333333,0.5277777777777778
1,4,0.6634140594562525,0.31666666666666665,0.25,0.5527777777777778
1,5,0.6364212875783479,0.38,0.24000000000000005,0.4716666666666667
2,2,0.6936155859871119,0.05,0.05,0.37857142857142856
2,3,0.7246066692371043,0.11666666666666665,0.06666666666666667,0.4208333333333334
2,4,0.6331943348144404,0.14166666666666666,0.125,0.4453703703703704
2,5,0.6861169004742586,0.24,0.30000000000000004,0.477
3,2,0.7866380199692795,0.03333333333333333,0.03333333333333333,0.3708333333333333
3,3,0.6262979227285073,0.11111111111111109,0.13333333333333333,0.4922222222222222
3,4,0.6325434108244306,0.18888888888888888,0.11666666666666667,0.4768518518518519
3,5,0.5981304777192256,0.18,0.22666666666666666,0.4883333333333334
4,2,0.6724794989706956,0.1,0.1,0.5305555555555556
4,3,0.6657363834174371,0.15833333333333335,0.16666666666666666,0.5611111111111111
4,4,0.6321996249236588,0.10833333333333332,0.0625,0.4844444444444444
4,5,0.5848023351873044,0.1825,0.12,0.5486111111111113
5,2,0.6494724120969458,0.04,0.04,0.438
5,3,0.6447327276564625,0.09333333333333334,0.08,0.45285714285714296
5,4,0.5981629477407246,0.09333333333333332,0.12000000000000002,0.48462962962962963
5,5,0.6074798523710437,0.156,0.192,0.5638181818181818
6,2,0.6492845689878167,0.06666666666666667,0.06666666666666667,0.42272727272727273
6,3,0.6172365574635954,0.10555555555555556,0.11111111111111112,0.5381944444444444
6,4,0.5684575840535364,0.11388888888888889,0.025,0.5218253968253969
6,5,0.5949894716022812,0.16833333333333333,0.18,0.5947435897435898
7,2,0.5672911847962604,0.14285714285714285,0.14285714285714285,0.4642857142857143
7,3,0.5005705533139156,0.19047619047619047,0.23809523809523808,0.6203703703703703
7,4,0.5548259782314192,0.09523809523809523,0.10714285714285714,0.5873015873015873
7,5,0.5887598306702263,0.12857142857142856,0.11428571428571428,0.630952380952381
