r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2908952872593146,0.5,0.5,0.8399999999999999
1,3,0.3806191452801134,0.4333333333333333,0.4,0.7733333333333332
1,4,0.25595839531217796,0.7499999999999999,0.6,0.8666666666666668
1,5,0.3064044158991793,0.79,0.5599999999999999,0.8580000000000002
2,2,0.3903608816131256,0.3,0.3,0.75
2,3,0.28279885782738334,0.5833333333333333,0.5666666666666667,0.8833333333333334
2,4,0.4209129700208267,0.5166666666666666,0.3,0.8
2,5,0.2959332868677403,0.5900000000000001,0.48,0.7727777777777779
3,2,0.3491014274338132,0.39999999999999997,0.39999999999999997,0.7904761904761906
3,3,0.33384309481504476,0.4666666666666667,0.4666666666666667,0.8333333333333333
3,4,0.2804598406833797,0.561111111111111,0.5166666666666666,0.8398989898989899
3,5,0.318669276870328,0.65,0.48,0.8725641025641027
4,2,0.3293068832656949,0.475,0.475,0.803125
4,3,0.33074929064675035,0.475,0.4666666666666666,0.8030303030303031
4,4,0.3282295399859804,0.5,0.475,0.8229166666666667
4,5,0.3436838524542317,0.5475000000000001,0.48,0.8372058823529411
5,2,0.35783682173082915,0.45999999999999996,0.45999999999999996,0.788888888888889
5,3,0.34290752265836133,0.48666666666666664,0.48,0.8020512820512821
5,4,0.34438495092372934,0.4833333333333333,0.47000000000000003,0.8150980392156862
5,5,0.3534252540981926,0.488,0.504,0.8185714285714285
6,2,0.380570991952004,0.5,0.5,0.7833333333333333
6,3,0.3624357474419757,0.5,0.5,0.7833333333333333
6,4,0.3524851824694449,0.5,0.5,0.8076388888888889
6,5,0.3885447260820585,0.4166666666666667,0.5,0.794
