r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0
1,4,1.0,0.0,0.0,0.0
1,5,1.0,0.08333333333333333,0.0,0.0
1,6,1.0,0.1611111111111111,0.0,0.0
1,7,1.0,0.2698412698412698,0.0,0.0
1,8,1.0,0.3601190476190475,0.0,0.0
1,9,1.0,0.4212962962962963,0.0,0.0
1,10,1.0,0.48148148148148157,0.0,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,1.0,0.0,0.0,0.0
2,5,1.0,0.015,0.0,0.0
2,6,1.0,0.034999999999999996,0.0,0.0
2,7,1.0,0.09761904761904759,0.0,0.0
2,8,1.0,0.09374999999999999,0.0,0.0
2,9,1.0,0.09375,0.0,0.0
2,10,1.0,0.12111111111111113,0.0,0.0
3,2,1.0,0.0,0.0,0.0
3,3,1.0,0.0,0.0,0.0
3,4,1.0,0.0,0.0,0.0
3,5,1.0,0.0,0.0,0.0
3,6,1.0,0.005555555555555555,0.0,0.0
3,7,1.0,0.024603174603174603,0.0,0.0
3,8,1.0,0.03571428571428571,0.0,0.0
3,9,1.0,0.04490740740740741,0.0,0.0
3,10,1.0,0.058518518518518525,0.0,0.0
4,2,1.0,0.0,0.0,0.0
4,3,1.0,0.0,0.0,0.0
4,4,1.0,0.0,0.0,0.0
4,5,1.0,0.0,0.0,0.0
4,6,1.0,0.0,0.0,0.0
4,7,1.0,0.0011904761904761904,0.0,0.0
4,8,1.0,0.005357142857142856,0.0,0.0
4,9,1.0,0.015277777777777779,0.0,0.0
4,10,1.0,0.025000000000000005,0.0,0.0
5,2,1.0,0.0,0.0,0.0
5,3,1.0,0.0,0.0,0.0
5,4,1.0,0.0,0.0,0.0
5,5,1.0,0.0,0.0,0.0
5,6,1.0,0.0,0.0,0.0
5,7,1.0,0.0,0.0,0.0
5,8,1.0,0.0017857142857142857,0.0,0.0
5,9,1.0,0.005555555555555556,0.0,0.0
5,10,1.0,0.015555555555555557,0.0,0.0
6,2,1.0,0.0,0.0,0.0
6,3,1.0,0.0,0.0,0.0
6,4,1.0,0.0,0.0,0.0
6,5,1.0,0.0,0.0,0.0
6,6,1.0,0.0,0.0,0.0
6,7,1.0,0.0,0.0,0.0
6,8,1.0,0.0,0.0,0.0
6,9,1.0,0.004629629629629629,0.0,0.0
6,10,1.0,0.01111111111111111,0.0,0.0
