r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5855885576288015,0.3333333333333333,0.3333333333333333,0.8333333333333334
1,3,0.6810363019168313,0.47222222222222215,0.38888888888888884,0.7888888888888888
1,4,0.6816093870250611,0.6805555555555555,0.4166666666666667,0.8222222222222221
1,5,0.6868133825780786,0.725,0.3666666666666667,0.8033333333333336
1,6,0.7047504448747746,0.7666666666666666,0.36111111111111116,0.7966666666666667
1,7,0.7070480261533576,0.8134920634920636,0.35714285714285715,0.7912698412698415
1,8,0.7144130674770347,0.8392857142857141,0.3541666666666667,0.7904761904761902
1,9,0.7185363370114031,0.8541666666666666,0.2962962962962963,0.7884259259259258
1,10,0.7219243529785441,0.8777777777777778,0.35000000000000003,0.7825925925925921
2,2,0.5680846864987825,0.375,0.375,0.8666666666666666
2,3,0.6649748124800235,0.5166666666666667,0.38333333333333336,0.8464285714285715
2,4,0.6608356066718886,0.6291666666666667,0.4875,0.8546875
2,5,0.6759690609478608,0.6875000000000001,0.41,0.8583333333333334
2,6,0.6830753496175677,0.7733333333333334,0.525,0.8931666666666664
2,7,0.7102183616810616,0.7797619047619049,0.43571428571428567,0.8872294372294369
2,8,0.7175009490614118,0.8241071428571429,0.51875,0.8964285714285711
2,9,0.7211207503187129,0.8486111111111111,0.5166666666666666,0.9113247863247859
2,10,0.728602219907321,0.8183333333333334,0.425,0.8656746031746035
3,2,0.6052666903579701,0.4166666666666667,0.4166666666666667,0.8690476190476192
3,3,0.6534007379792923,0.5,0.4,0.843827160493827
3,4,0.6470407468006026,0.6527777777777778,0.5166666666666666,0.891161616161616
3,5,0.67019487054043,0.6283333333333333,0.5,0.8691025641025639
3,6,0.6921311308774206,0.7344444444444445,0.5888888888888888,0.9043703703703704
3,7,0.7090954679579096,0.7746031746031745,0.5,0.9132586367880483
3,8,0.740623733433916,0.7505952380952381,0.4291666666666667,0.8913847117794484
3,9,0.7443944046383505,0.7939814814814814,0.4666666666666667,0.9071428571428568
3,10,0.7602227479602701,0.7914814814814817,0.4833333333333333,0.8793397745571662
4,2,0.605213056197058,0.45,0.45,0.8734375
4,3,0.637379313172117,0.5291666666666667,0.4333333333333334,0.8700757575757578
4,4,0.6431116415929948,0.6416666666666667,0.5375,0.8982142857142857
4,5,0.6719899825970765,0.67125,0.55,0.9068382352941177
4,6,0.6998436094076738,0.68,0.5291666666666667,0.9054999999999997
4,7,0.7248012386091632,0.7023809523809523,0.5142857142857142,0.9076604554865424
4,8,0.7499206045526221,0.7941964285714287,0.578125,0.9252232142857141
4,9,0.7517116793585752,0.75,0.5805555555555555,0.9010656130268198
4,10,0.7866326698121148,0.773611111111111,0.5874999999999999,0.878142361111111
5,2,0.6079734101791564,0.44999999999999996,0.44999999999999996,0.8685185185185186
5,3,0.6292727003858046,0.5333333333333333,0.4666666666666666,0.8786324786324786
5,4,0.6453047494511464,0.6194444444444445,0.55,0.9053921568627451
5,5,0.6771842574344671,0.65,0.58,0.9142063492063492
5,6,0.7168275813563109,0.6811111111111111,0.55,0.9221333333333335
5,7,0.7334510464216383,0.7031746031746032,0.5714285714285714,0.9204707170224412
5,8,0.7635275776500472,0.7238095238095239,0.5458333333333334,0.910137085137085
5,9,0.7744501360349383,0.7328703703703704,0.5740740740740741,0.897847847847848
5,10,0.8109011863984654,0.7414814814814813,0.5833333333333334,0.85869918699187
6,2,0.6134626609141809,0.5,0.5,0.875
6,3,0.6284912114937855,0.5555555555555556,0.5,0.8888888888888888
6,4,0.6418909150837216,0.6111111111111112,0.5416666666666666,0.9125
6,5,0.6849441531284506,0.6333333333333333,0.6,0.9206666666666666
6,6,0.7216459128374498,0.65,0.5555555555555556,0.9242592592592592
6,7,0.7396657438503983,0.6746031746031745,0.5714285714285714,0.9213151927437644
6,8,0.7731436729476485,0.7083333333333334,0.5416666666666666,0.9095982142857143
6,9,0.7830288305263116,0.7175925925925926,0.5740740740740741,0.8911008230452673
6,10,0.8267053937991172,0.7277777777777779,0.6166666666666667,0.8432962962962961
