r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.29234057723946894,0.4,0.4,0.76
1,3,0.35121614642899046,0.4333333333333333,0.26666666666666666,0.7333333333333333
1,4,0.2787795491361316,0.7499999999999999,0.45,0.85
1,5,0.355991080765068,0.71,0.27999999999999997,0.77
2,2,0.37206866848618575,0.2,0.2,0.6333333333333334
2,3,0.31614490574747595,0.55,0.4,0.8357142857142857
2,4,0.4660582420376662,0.4333333333333333,0.125,0.6979166666666666
2,5,0.39617124288705985,0.65,0.42000000000000004,0.7894444444444445
3,2,0.358177369535747,0.3333333333333333,0.3333333333333333,0.6619047619047619
3,3,0.3549927993666441,0.41111111111111115,0.3333333333333333,0.7814814814814814
3,4,0.39407740742063035,0.5444444444444445,0.3833333333333333,0.7914141414141413
3,5,0.4110521993282372,0.5366666666666667,0.3333333333333333,0.8028205128205128
4,2,0.3676683311781339,0.35,0.35,0.6375
4,3,0.38173509398132494,0.4,0.35,0.734848484848485
4,4,0.40284931397215945,0.45,0.3625,0.7764880952380953
4,5,0.4253616796302274,0.42750000000000005,0.3,0.7523529411764706
5,2,0.39157763260001277,0.31999999999999995,0.31999999999999995,0.6466666666666667
5,3,0.4034269187551029,0.3666666666666666,0.36,0.722051282051282
5,4,0.4286187975877532,0.39,0.32999999999999996,0.7392156862745098
5,5,0.41792253565927995,0.4,0.36,0.796
6,2,0.4061574974622259,0.3333333333333333,0.3333333333333333,0.6416666666666667
6,3,0.44666524967373006,0.3333333333333333,0.3333333333333333,0.6425925925925926
6,4,0.4243330136070696,0.36111111111111116,0.3333333333333333,0.7118055555555555
6,5,0.44696401471526187,0.3333333333333333,0.3333333333333333,0.7410000000000001
