r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.8402941137501181,0.0,0.0,0.18
1,3,0.7756765108216157,0.03333333333333333,0.0,0.18666666666666668
1,4,0.6492263781253297,0.21666666666666665,0.05,0.38
1,5,0.6575765673739988,0.22999999999999998,0.0,0.312
2,2,0.8796863079910349,0.0,0.0,0.05833333333333333
2,3,0.6987109422364272,0.11666666666666667,0.13333333333333333,0.31666666666666665
2,4,0.6851715886086238,0.041666666666666664,0.025,0.16979166666666665
2,5,0.5884281920851622,0.25,0.13999999999999999,0.42055555555555557
3,2,0.8284565661985261,0.0,0.0,0.1523809523809524
3,3,0.6937264306316488,0.12222222222222223,0.13333333333333333,0.2765432098765432
3,4,0.6815127890729438,0.08333333333333333,0.03333333333333333,0.22323232323232323
3,5,0.5811252574892659,0.16666666666666666,0.21333333333333332,0.3553846153846154
4,2,0.762901606308625,0.025,0.025,0.178125
4,3,0.7754401379188097,0.11666666666666665,0.13333333333333333,0.29469696969696973
4,4,0.6513788120662938,0.1625,0.1875,0.2922619047619047
4,5,0.5665329391008653,0.2,0.22999999999999998,0.39441176470588235
5,2,0.7221220378182834,0.12000000000000002,0.12000000000000002,0.2577777777777778
5,3,0.7663694737647757,0.1933333333333333,0.18666666666666668,0.33282051282051284
5,4,0.6206774550434383,0.14999999999999997,0.13,0.3386274509803921
5,5,0.5312094024650935,0.262,0.28,0.46238095238095234
6,2,0.7089408488171723,0.16666666666666666,0.16666666666666666,0.25833333333333336
6,3,0.7897381197212754,0.1111111111111111,0.16666666666666666,0.26851851851851855
6,4,0.5712348349070406,0.16666666666666666,0.25,0.36319444444444443
6,5,0.552224359325704,0.25833333333333336,0.4,0.45733333333333337
