r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.3333333333333333,0.3333333333333333,0.0
1,3,1.0,0.2222222222222222,0.4444444444444444,0.0
1,4,1.0,0.25,0.6666666666666666,0.0
1,5,1.0,0.34166666666666673,0.7666666666666666,0.0
1,6,1.0,0.3277777777777778,0.7777777777777778,0.0
1,7,1.0,0.43253968253968256,0.7857142857142857,0.0
1,8,1.0,0.48809523809523797,0.7916666666666666,0.0
1,9,1.0,0.5185185185185185,0.9629629629629631,0.0
1,10,1.0,0.5592592592592592,0.9666666666666668,0.0
2,2,1.0,0.225,0.225,0.0
2,3,1.0,0.25000000000000006,0.33333333333333337,0.0
2,4,1.0,0.2666666666666667,0.3875,0.0
2,5,1.0,0.32249999999999995,0.47000000000000003,0.0
2,6,1.0,0.29833333333333334,0.4666666666666667,0.0
2,7,1.0,0.3416666666666667,0.4928571428571429,0.0
2,8,1.0,0.3196428571428571,0.35,0.0
2,9,1.0,0.33125,0.3555555555555556,0.0
2,10,1.0,0.3388888888888889,0.4050000000000001,0.0
3,2,1.0,0.16666666666666669,0.16666666666666669,0.0
3,3,1.0,0.20555555555555557,0.22222222222222227,0.0
3,4,1.0,0.23611111111111108,0.25,0.0
3,5,1.0,0.24499999999999997,0.32,0.0
3,6,1.0,0.22000000000000003,0.19444444444444442,0.0
3,7,1.0,0.22222222222222218,0.2285714285714285,0.0
3,8,1.0,0.2571428571428572,0.23333333333333334,0.0
3,9,1.0,0.26435185185185184,0.26666666666666666,0.0
3,10,1.0,0.2566666666666667,0.26999999999999996,0.0
4,2,1.0,0.125,0.125,0.0
4,3,1.0,0.17083333333333334,0.16666666666666669,0.0
4,4,1.0,0.1958333333333333,0.1875,0.0
4,5,1.0,0.1775,0.18,0.0
4,6,1.0,0.18083333333333337,0.20833333333333331,0.0
4,7,1.0,0.19940476190476192,0.21428571428571425,0.0
4,8,1.0,0.20446428571428577,0.21875,0.0
4,9,1.0,0.21145833333333336,0.22222222222222227,0.0
4,10,1.0,0.21499999999999994,0.22500000000000003,0.0
5,2,1.0,0.09999999999999999,0.09999999999999999,0.0
5,3,1.0,0.13333333333333333,0.13333333333333333,0.0
5,4,1.0,0.13333333333333333,0.15,0.0
5,5,1.0,0.15166666666666667,0.16,0.0
5,6,1.0,0.16222222222222224,0.16666666666666666,0.0
5,7,1.0,0.16825396825396832,0.17142857142857146,0.0
5,8,1.0,0.17202380952380955,0.17500000000000002,0.0
5,9,1.0,0.17592592592592593,0.17777777777777778,0.0
5,10,1.0,0.17703703703703688,0.17999999999999997,0.0
6,2,1.0,0.08333333333333333,0.08333333333333333,0.0
6,3,1.0,0.1111111111111111,0.1111111111111111,0.0
6,4,1.0,0.125,0.125,0.0
6,5,1.0,0.13333333333333333,0.13333333333333333,0.0
6,6,1.0,0.1444444444444445,0.1388888888888889,0.0
6,7,1.0,0.1468253968253969,0.14285714285714285,0.0
6,8,1.0,0.14880952380952384,0.14583333333333334,0.0
6,9,1.0,0.1527777777777778,0.14814814814814814,0.0
6,10,1.0,0.15370370370370354,0.15,0.0
