r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.068138934591751,0.5,0.5,0.8
1,3,0.21953443539045434,0.5333333333333333,0.5999999999999999,0.7555555555555556
1,4,0.3922937217726453,0.3833333333333333,0.45,0.5361111111111111
1,5,0.2043216575273466,0.6,0.6,0.7150000000000001
2,2,0.18337209295818552,0.55,0.55,0.8285714285714286
2,3,0.20125621029286017,0.55,0.6666666666666666,0.7625
2,4,0.33598952059267956,0.42976190476190473,0.5071428571428571,0.626736111111111
2,5,0.33928038034285246,0.51,0.5650000000000001,0.67325
3,2,0.22793886678037284,0.5333333333333333,0.5333333333333333,0.7583333333333334
3,3,0.07011665858501417,0.4555555555555556,0.6,0.7622222222222221
3,4,0.3281575849484655,0.3742424242424242,0.43787878787878787,0.6140572390572391
3,5,0.3809251248846365,0.44666666666666666,0.5794871794871794,0.6647619047619048
4,2,0.15900193854883674,0.425,0.425,0.725
4,3,0.19484367022172022,0.425,0.5833333333333333,0.7118055555555556
4,4,0.3183979305554482,0.5141666666666665,0.5566666666666666,0.6949206349206349
4,5,0.3446779762952149,0.425,0.5166666666666667,0.6309606481481482
5,2,0.22598515519167134,0.42000000000000004,0.42000000000000004,0.7040000000000001
5,3,0.24501642668628495,0.38,0.52,0.667142857142857
5,4,0.34212556343280137,0.44070175438596493,0.5121052631578947,0.6850653594771241
5,5,0.3973460685603646,0.4379130434782608,0.5106086956521739,0.637969696969697
6,2,0.22000775944073075,0.35,0.35,0.6515151515151516
6,3,0.2735954796423693,0.4166666666666667,0.47777777777777775,0.6732638888888889
6,4,0.3534323622428618,0.5027777777777778,0.5510869565217391,0.7001521164021164
6,5,0.3972090961341691,0.47214285714285714,0.5828571428571427,0.6628044871794871
7,2,0.23785640145668024,0.42857142857142855,0.42857142857142855,0.6428571428571429
7,3,0.2980090572039475,0.38095238095238093,0.38095238095238093,0.6706349206349206
7,4,0.38093712673227226,0.4567901234567901,0.5555555555555556,0.6687370600414079
7,5,0.38471348036282066,0.5075757575757576,0.6363636363636364,0.6887755102040816
