r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.047444284631735646,0.8,0.8,0.9
1,3,0.04124833298612852,0.8666666666666668,0.9333333333333332,0.9222222222222222
1,4,0.08726327338043684,0.7333333333333333,0.85,0.861111111111111
1,5,0.08013532033553887,0.8300000000000001,0.96,0.8833333333333332
2,2,0.08026443637401884,0.75,0.75,0.8642857142857142
2,3,0.05763976535852335,0.8333333333333334,0.9333333333333333,0.8916666666666668
2,4,0.13583657806930713,0.7202380952380952,0.8678571428571429,0.837037037037037
2,5,0.09202562756720238,0.75,0.9199999999999999,0.8945000000000001
3,2,0.0856938683767489,0.6666666666666667,0.6666666666666667,0.8291666666666668
3,3,0.017249428243794756,0.9555555555555555,1.0,0.9644444444444444
3,4,0.15808742871222609,0.646969696969697,0.7878787878787878,0.8275673400673401
3,5,0.18246158024093811,0.651025641025641,0.8646153846153848,0.7969047619047619
4,2,0.06843874043136763,0.725,0.725,0.8972222222222221
4,3,0.0591560945707309,0.8166666666666667,0.9333333333333333,0.8979166666666666
4,4,0.08574501543362693,0.7711111111111112,0.8966666666666667,0.8841666666666667
4,5,0.13641201390828112,0.6847222222222221,0.8622222222222223,0.8401909722222223
5,2,0.09248816744037223,0.6599999999999999,0.6599999999999999,0.8480000000000001
5,3,0.09841092582315998,0.7266666666666668,0.8133333333333332,0.8304761904761906
5,4,0.14346910194384052,0.6963157894736842,0.8652631578947367,0.8543572984749457
5,5,0.18906625451254946,0.5417391304347826,0.734608695652174,0.8079666666666666
6,2,0.08045452905431302,0.65,0.65,0.8712121212121213
6,3,0.1352083600855366,0.6444444444444445,0.7222222222222222,0.7913194444444444
6,4,0.15031002354166673,0.661111111111111,0.8960144927536232,0.8682208994708995
6,5,0.19252583417816121,0.556547619047619,0.739047619047619,0.8063568376068376
7,2,0.08216220253691398,0.5714285714285714,0.5714285714285714,0.880952380952381
7,3,0.1459098246857982,0.6190476190476191,0.6666666666666666,0.7817460317460317
7,4,0.17584484737792946,0.6049382716049382,0.8888888888888888,0.8457556935817806
7,5,0.17355435020984053,0.5606060606060606,0.7272727272727273,0.8132936507936508
