r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6153431729250939,0.4,0.4,0.8666666666666668
1,3,0.5614496449342139,0.5,0.4666666666666666,0.7444444444444445
1,4,0.6371061675314931,0.47777777777777775,0.35,0.6694444444444445
1,5,0.7044292610081965,0.44000000000000006,0.39999999999999997,0.6466666666666667
2,2,0.5807764547124898,0.3,0.3,0.8
2,3,0.6126773824410204,0.41666666666666663,0.29999999999999993,0.7291666666666667
2,4,0.6666152228575453,0.3547619047619047,0.3571428571428571,0.6319444444444444
2,5,0.7273153771104337,0.38375000000000004,0.27,0.6273333333333333
3,2,0.5585858548363319,0.4999999999999999,0.4999999999999999,0.8291666666666668
3,3,0.6741012710796391,0.37777777777777777,0.33333333333333337,0.7655555555555555
3,4,0.7853903382464833,0.17171717171717168,0.08939393939393939,0.5323232323232323
3,5,0.7186445051484197,0.34897435897435897,0.363076923076923,0.5750000000000001
4,2,0.666848523096872,0.35,0.35,0.8083333333333333
4,3,0.6888878277020426,0.29999999999999993,0.31666666666666665,0.7159722222222221
4,4,0.7545276919179811,0.3372222222222222,0.285,0.6174007936507937
4,5,0.7985374602974764,0.2658333333333333,0.2644444444444445,0.5597511574074074
5,2,0.649538011401296,0.24,0.24,0.728
5,3,0.7617095456226627,0.35333333333333333,0.37333333333333335,0.6757142857142858
5,4,0.8193793138794208,0.33403508771929824,0.3373684210526316,0.6063725490196079
5,5,0.8273586938464496,0.32269565217391294,0.4149565217391304,0.5574121212121212
6,2,0.7049929819266987,0.26666666666666666,0.26666666666666666,0.7333333333333333
6,3,0.8502286788143112,0.3722222222222221,0.36666666666666664,0.6649305555555556
6,4,0.8415734595102565,0.4595410628019324,0.43007246376811603,0.637632275132275
6,5,0.8881185070337457,0.4205952380952381,0.4280952380952382,0.5908707264957265
7,2,0.7199710778803075,0.2857142857142857,0.2857142857142857,0.7202380952380952
7,3,0.876158964215757,0.4523809523809524,0.38095238095238093,0.6746031746031745
7,4,0.8781403903207108,0.4320987654320988,0.48148148148148145,0.6117149758454107
7,5,0.9157428195764602,0.5075757575757576,0.48484848484848486,0.6135204081632653
