r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2965430539868304,0.8,0.8,0.95
1,3,0.4080259359467318,0.6666666666666667,0.6,0.75
1,4,0.5233522345134157,0.6333333333333334,0.6,0.6277777777777778
1,5,0.39366142955419586,0.79,0.8400000000000001,0.8133333333333332
2,2,0.3447069264199795,0.6,0.6,0.8428571428571429
2,3,0.37792161616448555,0.7666666666666666,0.7,0.8104166666666668
2,4,0.5137144013013909,0.6357142857142857,0.6,0.6293981481481481
2,5,0.5225774023788565,0.74375,0.75,0.698125
3,2,0.36460207803859696,0.6666666666666666,0.6666666666666666,0.8416666666666668
3,3,0.28799213355378384,1.0,1.0,1.0
3,4,0.5375261357206027,0.7636363636363636,0.7696969696969698,0.7318181818181818
3,5,0.6095029857208887,0.5548717948717948,0.5558974358974359,0.5405952380952381
4,2,0.4003084254912004,0.8,0.8,0.9333333333333333
4,3,0.4354830672033313,0.7333333333333333,0.7333333333333334,0.7972222222222223
4,4,0.5553494081964281,0.7241666666666665,0.7233333333333333,0.7045634920634921
4,5,0.578694697321247,0.6547222222222222,0.678888888888889,0.6487847222222222
5,2,0.40485425918325885,0.72,0.72,0.8140000000000001
5,3,0.5071128551554189,0.76,0.76,0.7680952380952382
5,4,0.6169430826217193,0.7256140350877193,0.7389473684210526,0.7187037037037036
5,5,0.6946267350955047,0.6224347826086956,0.6563478260869566,0.6358909090909091
6,2,0.45048026082076353,0.7333333333333333,0.7333333333333333,0.843939393939394
6,3,0.5991484114100192,0.7555555555555555,0.7777777777777778,0.775
6,4,0.6851407991194076,0.7321256038647342,0.7579710144927536,0.7307142857142856
6,5,0.7732911326997691,0.6729761904761905,0.71,0.6928472222222222
7,2,0.49761450253998074,0.7142857142857143,0.7142857142857143,0.8392857142857143
7,3,0.643750104349566,0.7380952380952381,0.7619047619047619,0.7592592592592593
7,4,0.7275970869674468,0.7160493827160493,0.7407407407407407,0.7127329192546583
7,5,0.8133678053375044,0.696969696969697,0.7272727272727273,0.7076530612244898
