r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.36380107990078797,0.7142857142857143,0.7142857142857143,0.8333333333333334
1,3,0.35356474044689135,0.7857142857142857,0.7142857142857143,0.8333333333333334
1,4,0.4101625323779389,0.738095238095238,0.7142857142857143,0.7341269841269842
1,5,0.411537580958473,0.7142857142857143,0.7999999999999999,0.7369047619047618
1,6,0.4126285474187755,0.7476190476190475,0.761904761904762,0.7444444444444445
1,7,0.4258029623444881,0.7653061224489797,0.7346938775510203,0.7307256235827665
1,8,0.4348009699919898,0.782312925170068,0.7678571428571429,0.7287414965986395
1,9,0.437428429528995,0.8055555555555556,0.7936507936507936,0.7248677248677249
1,10,0.4497249171832229,0.8119047619047619,0.7857142857142857,0.719047619047619
2,2,0.44834543510167413,0.7,0.7,0.8285714285714286
2,3,0.37630258124529603,0.7333333333333333,0.6833333333333333,0.7885416666666667
2,4,0.4616090281203988,0.7416666666666666,0.7785714285714285,0.7444444444444445
2,5,0.489346205400491,0.715625,0.7675,0.7056250000000001
2,6,0.5350543205136912,0.7577777777777779,0.7805555555555557,0.7115530303030304
2,7,0.5509847440298294,0.7985714285714287,0.8,0.7556051587301587
2,8,0.47791863842636034,0.8275162337662337,0.8295454545454545,0.7997682005494505
2,9,0.5445276347307598,0.7892361111111111,0.7972222222222223,0.7083085317460318
2,10,0.5433680899635677,0.8178205128205128,0.8569230769230769,0.7928425925925925
3,2,0.3725739431888747,0.7333333333333334,0.7333333333333334,0.9020833333333333
3,3,0.4661196873364718,0.6944444444444444,0.6111111111111112,0.7577777777777778
3,4,0.5791181168952775,0.6371212121212122,0.6545454545454545,0.6394570707070708
3,5,0.5034432459448386,0.7097435897435898,0.756923076923077,0.7071626984126984
3,6,0.5711084482220039,0.8357777777777777,0.8577777777777778,0.838076923076923
3,7,0.6382613228099718,0.7214285714285714,0.7030812324929971,0.6681468883849836
3,8,0.6479651412797841,0.7467105263157895,0.7396929824561402,0.6935714285714286
3,9,0.5934338322848821,0.7804894179894181,0.7767195767195767,0.7269544402356902
3,10,0.608373741809818,0.8038003220611916,0.8262318840579711,0.7831690268700073
4,2,0.4140099111865506,0.75,0.75,0.8555555555555557
4,3,0.4847897220596333,0.6708333333333334,0.6583333333333334,0.7295138888888888
4,4,0.5375099637761844,0.6861111111111111,0.675,0.6747023809523809
4,5,0.6159160306629998,0.7043055555555555,0.7194444444444444,0.6736111111111112
4,6,0.6474713190811432,0.789047619047619,0.7916666666666666,0.7829894179894181
4,7,0.6693977030117686,0.7485119047619048,0.7845238095238096,0.7145882936507937
4,8,0.6866297531870575,0.8127480158730158,0.8116898148148148,0.8122850529100528
4,9,0.7455480118643958,0.7625000000000001,0.7711111111111111,0.7089872685185186
4,10,0.7306548655491143,0.691641414141414,0.6931060606060607,0.6349601787101787
5,2,0.429571399842503,0.7,0.7,0.837
5,3,0.5181180003403628,0.7833333333333334,0.78,0.8007142857142856
5,4,0.6011884867080884,0.7376315789473684,0.7410526315789474,0.7219716775599128
5,5,0.6554666428565759,0.7783478260869565,0.7994782608695653,0.757859090909091
5,6,0.6919546096122218,0.7288888888888889,0.7459259259259259,0.6871371237458194
5,7,0.711154962575148,0.7153149001536099,0.7008294930875577,0.6944175824175822
5,8,0.7474506892707934,0.7072448979591834,0.717857142857143,0.6724358881483626
5,9,0.8131462137325357,0.7057051282051282,0.721025641025641,0.6999237024853799
5,10,0.8042789569361675,0.6605891472868219,0.6431627906976745,0.669884656084656
6,2,0.46636631449470956,0.7142857142857143,0.7142857142857143,0.8376623376623377
6,3,0.5782338184005921,0.75,0.746031746031746,0.7589285714285714
6,4,0.6573303650710185,0.7277432712215319,0.7401656314699794,0.7133975812547241
6,5,0.7308881266681473,0.7289965986394558,0.7517006802721088,0.7117902930402931
6,6,0.7755819273088757,0.7428571428571429,0.7896825396825398,0.7200918001609246
6,7,0.7855588745835712,0.7007399451008475,0.7253848907984245,0.7017156399596877
6,8,0.8122186842628238,0.7072951273532669,0.734703765227021,0.7023069220913296
6,9,0.8357907832489425,0.6770833333333333,0.6779100529100529,0.6925113584080975
6,10,0.8573498145052285,0.6455026455026456,0.6397124887690925,0.6671567448528233
7,2,0.48991728864804235,0.7142857142857143,0.7142857142857143,0.8392857142857143
7,3,0.6195182070884842,0.7380952380952381,0.7619047619047619,0.7592592592592593
7,4,0.7078608179735274,0.7160493827160495,0.7407407407407407,0.7127329192546584
7,5,0.7904903289497949,0.7424242424242424,0.7575757575757576,0.7112244897959183
7,6,0.834772645357206,0.7435897435897437,0.7948717948717948,0.720923520923521
7,7,0.8350145886259448,0.6851851851851851,0.7111111111111111,0.7005907626208377
7,8,0.8622067547992475,0.6946778711484592,0.7058823529411765,0.7008186995728524
7,9,0.8858601183115714,0.6535087719298246,0.631578947368421,0.691220238095238
7,10,0.9061948676905525,0.6031746031746031,0.6349206349206349,0.6501347708894879
