r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6133220625632703,0.14285714285714285,0.14285714285714285,0.380952380952381
1,3,0.5537032734033248,0.33333333333333337,0.42857142857142855,0.4523809523809524
1,4,0.5546793823901248,0.3333333333333333,0.39285714285714285,0.4523809523809524
1,5,0.5311766520521937,0.34285714285714286,0.42857142857142855,0.5170634920634921
1,6,0.5253356119768052,0.4238095238095238,0.380952380952381,0.5523809523809524
1,7,0.5084610670394424,0.49319727891156456,0.40816326530612246,0.5821995464852607
1,8,0.5107445907943126,0.568877551020408,0.44642857142857145,0.6293934240362812
1,9,0.493504289437413,0.5892857142857143,0.4761904761904762,0.6388888888888891
1,10,0.4917412369056596,0.6515873015873016,0.4714285714285714,0.7000000000000001
2,2,0.5960820182857305,0.225,0.225,0.36428571428571427
2,3,0.5677875501514256,0.35,0.38333333333333336,0.4302083333333333
2,4,0.5469107876683075,0.2654761904761905,0.3714285714285714,0.5028356481481481
2,5,0.5674353322371004,0.21999999999999997,0.3,0.48287500000000005
2,6,0.5046759765888795,0.27555555555555555,0.275,0.5686931818181817
2,7,0.5194388976127302,0.2966666666666667,0.3,0.5555555555555556
2,8,0.5244226728538799,0.40900974025974024,0.275,0.59444826007326
2,9,0.48973198511664684,0.43125,0.2805555555555555,0.5987227182539683
2,10,0.47306218333785577,0.4697008547008547,0.3403846153846154,0.6286527777777776
3,2,0.6164112431256552,0.16666666666666669,0.16666666666666669,0.36666666666666664
3,3,0.5459905911807317,0.2666666666666666,0.2777777777777778,0.45499999999999996
3,4,0.49511307433014434,0.258080808080808,0.33939393939393936,0.5197811447811448
3,5,0.5466535631242253,0.22051282051282053,0.256923076923077,0.4901587301587302
3,6,0.5674250049179838,0.22355555555555556,0.17777777777777778,0.5207318376068376
3,7,0.4602299941714943,0.2857142857142857,0.35826330532212886,0.6064247921390777
3,8,0.5305237648164505,0.3031328320802005,0.23114035087719298,0.5952380952380952
3,9,0.4881089611083726,0.3303571428571428,0.26825396825396824,0.5913562710437711
3,10,0.47109838850721564,0.368743961352657,0.24739130434782605,0.6097503631082063
4,2,0.65468580244426,0.15,0.15,0.29861111111111116
4,3,0.6001363665576438,0.20833333333333331,0.18333333333333332,0.4111111111111111
4,4,0.49307859922990815,0.2830555555555555,0.34875,0.5165178571428571
4,5,0.5385312344129759,0.18319444444444444,0.22444444444444445,0.5277141203703705
4,6,0.5486704744284876,0.18428571428571427,0.1625,0.511600529100529
4,7,0.505067022553656,0.2003968253968254,0.2363095238095238,0.5557242063492064
4,8,0.5379510662614168,0.20049603174603167,0.19166666666666665,0.5602828884078883
4,9,0.514958418024399,0.2229861111111111,0.10444444444444442,0.5789149305555557
4,10,0.4557303230313853,0.31567340067340066,0.2209848484848485,0.6228299015799015
5,2,0.5870202567472784,0.20999999999999996,0.20999999999999996,0.387
5,3,0.6762097077242445,0.11666666666666665,0.11333333333333333,0.36357142857142855
5,4,0.5576574441055523,0.1936842105263158,0.27763157894736834,0.4762418300653595
5,5,0.5522041931599297,0.19526086956521738,0.2669565217391304,0.516221212121212
5,6,0.4985072689755756,0.22370370370370368,0.1922222222222222,0.5636153846153846
5,7,0.5012202973598552,0.22910906298003075,0.2990783410138249,0.5698864468864467
5,8,0.4983292176504202,0.22239795918367342,0.19285714285714287,0.5876367960977494
5,9,0.5385461901821075,0.18549145299145298,0.09965811965811967,0.5716844846491229
5,10,0.484338247283785,0.25087855297157624,0.17162790697674418,0.6031650793650793
6,2,0.6163897860697833,0.19047619047619047,0.19047619047619047,0.3744588744588745
6,3,0.6635244786567966,0.11507936507936509,0.11904761904761905,0.3784722222222222
6,4,0.566527504258995,0.17468944099378877,0.2528467908902692,0.4706963340891912
6,5,0.5551250042592368,0.1775510204081633,0.2020408163265306,0.5246489621489622
6,6,0.5452322615455298,0.1645021645021645,0.12806637806637808,0.5347350230414747
6,7,0.5181318509954044,0.19462346342045586,0.2807017543859649,0.5672437956664147
6,8,0.518056224230658,0.1813300901756051,0.14444905869324476,0.5736725245653816
6,9,0.5197849131592137,0.1886987433862434,0.14087301587301587,0.5685727944559467
6,10,0.4898442299019891,0.2255465708295896,0.14842767295597484,0.5909287789189749
7,2,0.6294475274217607,0.21428571428571427,0.21428571428571427,0.38690476190476186
7,3,0.6735514431860267,0.09523809523809523,0.14285714285714285,0.37962962962962965
7,4,0.6247788245757177,0.16049382716049382,0.18518518518518517,0.44923222912353344
7,5,0.545246355289159,0.17424242424242425,0.21212121212121213,0.5455215419501134
7,6,0.5641159826600398,0.12307692307692307,0.07692307692307693,0.5315776815776815
7,7,0.5432157548017885,0.17407407407407405,0.35555555555555557,0.5786788399570354
7,8,0.5338614758934352,0.15406162464985998,0.09803921568627451,0.5948689553340716
7,9,0.5265480620098597,0.1600877192982456,0.12280701754385964,0.5648837081128748
7,10,0.4951746246099201,0.1922398589065254,0.12698412698412698,0.5704552261156033
