r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,0.7884633343480786,0.3333333333333333,0.0,0.47222222222222227
1,4,0.8585937862100238,0.0,0.0,0.06944444444444443
1,5,0.7993209507581036,0.45,0.8,0.5416666666666666
2,2,0.7234539375862337,0.0,0.0,0.46428571428571425
2,3,0.810105389717565,0.0,0.0,0.26041666666666663
2,4,0.7133424147188705,0.20833333333333331,0.125,0.48148148148148145
2,5,0.6951279807984282,0.275,0.4,0.475
3,2,0.8727570607778564,0.0,0.0,0.16666666666666666
3,3,0.6703172998126318,0.1111111111111111,0.1111111111111111,0.4444444444444444
3,4,0.7569634536997966,0.2777777777777778,0.08333333333333333,0.5462962962962963
3,5,0.6509961727312685,0.09615384615384616,0.0,0.40019841269841266
4,2,0.6663804823037403,0.25,0.25,0.5277777777777778
4,3,0.6979685349307124,0.125,0.08333333333333333,0.45833333333333337
4,4,0.6561303899508046,0.13333333333333333,0.0,0.5246031746031746
4,5,0.6432800116575836,0.175,0.1,0.5319444444444444
