r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6596952393357137,0.25,0.25,0.3333333333333333
1,3,0.7590228427514331,0.125,0.16666666666666666,0.2361111111111111
1,4,0.5917854258945603,0.39583333333333326,0.375,0.3541666666666667
1,5,0.5548930278426288,0.5375000000000001,0.6,0.44166666666666665
2,2,0.529123437355328,0.15,0.15,0.35
2,3,0.49923311962243505,0.18333333333333335,0.26666666666666666,0.42333333333333334
2,4,0.4319530383036537,0.3916666666666666,0.3,0.6055555555555555
2,5,0.47031287945057876,0.44000000000000006,0.33999999999999997,0.6307142857142857
3,2,0.406728304893558,0.20833333333333331,0.20833333333333331,0.49166666666666675
3,3,0.45640530387502704,0.2777777777777778,0.3055555555555556,0.5
3,4,0.4635149333143118,0.3819444444444444,0.375,0.5972222222222222
3,5,0.4614432646044685,0.45416666666666666,0.4,0.6821969696969696
4,2,0.3820860956600077,0.25,0.25,0.5625
4,3,0.4669214267132716,0.25,0.25,0.49537037037037035
4,4,0.4696665737190428,0.3749999999999999,0.375,0.59375
4,5,0.45937376002795716,0.4125,0.35,0.6541666666666668
