r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3085453777976853,0.5,0.5,0.5833333333333333
1,3,0.33341337079745814,0.7083333333333334,0.75,0.736111111111111
1,4,0.22997405413598696,0.7708333333333334,0.75,0.7708333333333334
1,5,0.2431177203216848,0.8375,0.75,0.7833333333333333
2,2,0.32072032187881516,0.4,0.4,0.625
2,3,0.42330677895389696,0.4833333333333333,0.4333333333333333,0.59
2,4,0.28866206748220585,0.575,0.625,0.6513888888888889
2,5,0.3206357592391737,0.605,0.6399999999999999,0.685
3,2,0.2518669789204666,0.41666666666666663,0.41666666666666663,0.6666666666666666
3,3,0.37855168018354224,0.3472222222222222,0.3333333333333333,0.5317460317460317
3,4,0.347389389813971,0.35416666666666663,0.4375,0.5609567901234568
3,5,0.37800482090647236,0.4,0.45000000000000007,0.5678030303030303
4,2,0.20237787149645756,0.5,0.5,0.7083333333333334
4,3,0.337347871620592,0.25,0.25,0.4722222222222222
4,4,0.3496030949053378,0.29166666666666663,0.375,0.5225694444444444
4,5,0.38346483236796175,0.275,0.25,0.5058333333333332
