r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6012482971629641,0.25,0.25,0.33333333333333337
1,3,0.622391569365431,0.16666666666666666,0.16666666666666666,0.3055555555555555
1,4,0.49103134701876205,0.375,0.25,0.3472222222222222
1,5,0.4604114953496702,0.5375000000000001,0.44999999999999996,0.44166666666666665
2,2,0.48665445365511106,0.2,0.2,0.4
2,3,0.5246306303618036,0.26666666666666666,0.3333333333333333,0.42666666666666664
2,4,0.46857907659543985,0.35,0.35,0.5013888888888889
2,5,0.4958475975239226,0.375,0.32,0.5407142857142857
3,2,0.40937351114543363,0.2916666666666667,0.2916666666666667,0.5249999999999999
3,3,0.49977829559483483,0.29166666666666663,0.3611111111111111,0.4623015873015873
3,4,0.5098016547106474,0.2847222222222222,0.37500000000000006,0.5223765432098766
3,5,0.5024794968754372,0.36250000000000004,0.33333333333333337,0.5734848484848485
4,2,0.3975059845013881,0.5,0.5,0.5833333333333334
4,3,0.6028289685256025,0.25,0.25,0.45833333333333337
4,4,0.5308755166477676,0.33333333333333326,0.375,0.5381944444444444
4,5,0.5518999921034307,0.3875,0.3,0.6133333333333334
