r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.601248297162969,0.25,0.25,0.33333333333333337
1,3,0.619399114622231,0.16666666666666666,0.16666666666666666,0.3055555555555555
1,4,0.48379897237489156,0.3333333333333333,0.25,0.3125
1,5,0.4634865462403577,0.475,0.4,0.36666666666666664
1,6,0.45246854663653835,0.5499999999999999,0.375,0.3944444444444445
1,7,0.4431978378955193,0.6428571428571428,0.4285714285714286,0.4194444444444445
1,8,0.434759811545973,0.6964285714285714,0.6875,0.518154761904762
1,9,0.4307863952952373,0.722718253968254,0.6666666666666666,0.5189814814814815
1,10,0.4274333724457954,0.7456349206349207,0.725,0.5250000000000001
2,2,0.47808239479288456,0.20833333333333334,0.20833333333333334,0.4375
2,3,0.5571641873086994,0.25,0.27777777777777773,0.39444444444444454
2,4,0.49149952679903514,0.2708333333333333,0.25,0.42939814814814814
2,5,0.467358501300994,0.33749999999999997,0.3333333333333333,0.47083333333333327
2,6,0.45426905194085626,0.44292929292929295,0.5113636363636364,0.5291914682539683
2,7,0.4607854064602705,0.4599867724867725,0.47420634920634913,0.5274029982363316
2,8,0.4458240292944671,0.5313644688644689,0.5272435897435898,0.5740093537414966
2,9,0.4328729531259519,0.6058201058201058,0.6177248677248678,0.6072450697450696
2,10,0.43345069294489796,0.6154320987654319,0.6138888888888889,0.6081735008818342
3,2,0.40563620073402823,0.25,0.25,0.5333333333333333
3,3,0.4930552842454254,0.29166666666666663,0.3611111111111111,0.43253968253968256
3,4,0.5192297450245232,0.26388888888888884,0.3125,0.47685185185185186
3,5,0.5006764275211502,0.29583333333333334,0.35,0.496969696969697
3,6,0.47124395453923856,0.3746732026143791,0.43137254901960786,0.5473646723646723
3,7,0.4495251569165321,0.44423558897243104,0.4956140350877193,0.5732987382987385
3,8,0.41749408365234303,0.4944727891156462,0.5104166666666667,0.5961021908763506
3,9,0.4294384711965027,0.5169082125603864,0.5640096618357489,0.5930839831059129
3,10,0.4215336831247236,0.5609259259259258,0.5933333333333334,0.6103477733686068
4,2,0.40877560113267575,0.5,0.5,0.6041666666666666
4,3,0.5375728303214771,0.25,0.25,0.40277777777777773
4,4,0.4417744941553451,0.33333333333333326,0.25,0.5086805555555556
4,5,0.4585211416235905,0.2625,0.35,0.5158333333333334
4,6,0.42730065863172073,0.3739130434782609,0.391304347826087,0.571078431372549
4,7,0.40721081893912764,0.4935897435897436,0.4230769230769231,0.6312656641604011
4,8,0.3914424554933431,0.5911330049261082,0.5172413793103449,0.6694196428571428
4,9,0.38765758930653427,0.6015625,0.625,0.6635970209339777
4,10,0.3842511380644279,0.6444444444444442,0.7428571428571429,0.6775833333333334
