r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5217277719572405,0.25,0.25,0.4166666666666667
1,3,0.598584559661522,0.29166666666666663,0.25,0.36111111111111105
1,4,0.5275438647303342,0.3333333333333333,0.25,0.3611111111111111
1,5,0.5056768375042454,0.5125,0.35,0.4083333333333332
2,2,0.49164785636194175,0.3,0.3,0.475
2,3,0.5355164889219778,0.23333333333333334,0.2,0.39999999999999997
2,4,0.43191712047131847,0.35,0.225,0.4833333333333334
2,5,0.48632818892197144,0.35000000000000003,0.22000000000000003,0.4692857142857142
3,2,0.4339387997090463,0.41666666666666663,0.41666666666666663,0.5583333333333332
3,3,0.5760598951372379,0.20833333333333331,0.16666666666666666,0.4007936507936508
3,4,0.5180779043207393,0.3055555555555555,0.22916666666666666,0.4729938271604939
3,5,0.5444615088691823,0.30833333333333335,0.23333333333333334,0.4928030303030303
4,2,0.4228511990193772,0.5,0.5,0.5833333333333334
4,3,0.68320473859722,0.25,0.25,0.3796296296296296
4,4,0.6148172754550959,0.31249999999999994,0.3125,0.4861111111111111
4,5,0.6484674848886844,0.275,0.25,0.48000000000000004
