r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.17028900823550877,1.0,1.0,1.0
1,3,0.20080304176447428,1.0,1.0,1.0
1,4,0.20974225031025348,1.0,1.0,1.0
1,5,0.2580952902954695,0.975,1.0,0.9833333333333334
2,2,0.1922889909798063,1.0,1.0,1.0
2,3,0.2983928085386368,0.9166666666666667,0.9666666666666668,0.9333333333333333
2,4,0.27420334092507587,0.8916666666666666,0.975,0.9
2,5,0.4242112608527139,0.8300000000000001,0.8400000000000001,0.8364285714285714
3,2,0.19416045091347806,1.0,1.0,1.0
3,3,0.3560966697464796,0.8472222222222222,0.8888888888888888,0.888888888888889
3,4,0.4197157277023824,0.7916666666666667,0.9375,0.8402777777777778
3,5,0.49524718265535844,0.7458333333333333,0.75,0.7943181818181818
4,2,0.19713901435732503,1.0,1.0,1.0
4,3,0.4037278890366755,0.75,0.75,0.8333333333333334
4,4,0.5242371165339065,0.7083333333333333,0.875,0.7690972222222222
4,5,0.5363784333305242,0.65,0.65,0.6991666666666667
