r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3273784842861025,1.0,1.0,1.0
1,3,0.37913270297145046,1.0,1.0,1.0
1,4,0.37656864695329473,0.9375,1.0,0.9791666666666666
1,5,0.38731151889340387,0.9625,1.0,0.9708333333333333
2,2,0.4213970015816981,1.0,1.0,1.0
2,3,0.4953631070979626,0.7833333333333333,0.8666666666666668,0.8666666666666666
2,4,0.4541431919441591,0.8166666666666667,0.925,0.8583333333333334
2,5,0.5404061285475803,0.74,0.76,0.775
3,2,0.41335923147626885,1.0,1.0,1.0
3,3,0.5662853928709205,0.6666666666666666,0.7222222222222222,0.7619047619047619
3,4,0.6034825350616158,0.6944444444444444,0.8750000000000001,0.7584876543209877
3,5,0.6648066237180887,0.6333333333333333,0.6666666666666667,0.6962121212121213
4,2,0.4657639501253812,1.0,1.0,1.0
4,3,0.6762588479701144,0.5,0.5,0.6388888888888888
4,4,0.6755480971178421,0.6041666666666666,0.6875,0.6961805555555556
4,5,0.7166018960674895,0.575,0.6,0.6266666666666667
