r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.46008196456985045,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,3,0.45683552286748413,0.5555555555555555,0.5555555555555555,0.5555555555555555
1,4,0.44546272713914564,0.7222222222222222,0.5833333333333334,0.6388888888888888
1,5,0.28127777785738783,0.85,0.8666666666666667,0.7916666666666666
2,2,0.4008327471907808,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,3,0.3631891266321263,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,4,0.3131316221824647,0.6527777777777778,0.625,0.6944444444444445
2,5,0.2555056259319047,0.7583333333333334,0.7333333333333334,0.7944444444444446
3,2,0.3517523497172353,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,3,0.3258591121281434,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,4,0.3223740653827109,0.6666666666666666,0.6666666666666666,0.673611111111111
3,5,0.29576004119363647,0.65,0.6666666666666666,0.7033333333333333
