r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9669080800866947,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,3,0.9685615805163278,0.2222222222222222,0.3333333333333333,0.2777777777777778
1,4,0.9618219233823341,0.47222222222222215,0.3333333333333333,0.2916666666666667
1,5,0.9587573959204728,0.6166666666666667,0.3333333333333333,0.3
2,2,0.9641320909235258,0.3333333333333333,0.3333333333333333,0.36111111111111116
2,3,0.9585361950997822,0.25,0.2222222222222222,0.3125
2,4,0.9506047185722516,0.25,0.3333333333333333,0.33055555555555555
2,5,0.942949502584392,0.325,0.3333333333333333,0.3875
3,2,0.9627297312998109,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,3,0.9477055617502158,0.2777777777777778,0.3333333333333333,0.3333333333333333
3,4,0.9444862902918367,0.3333333333333333,0.3333333333333333,0.40625
3,5,0.9606050278512113,0.25,0.3333333333333333,0.35999999999999993
