r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.5,0.5,0.0
1,3,1.0,0.27777777777777773,0.0,0.0
1,4,1.0,0.4444444444444444,0.25,0.0
1,5,1.0,0.5333333333333333,0.26666666666666666,0.0
1,6,1.0,0.6,0.2777777777777778,0.0
1,7,1.0,0.6666666666666666,0.2857142857142857,0.0
1,8,1.0,0.7142857142857143,0.5833333333333334,0.0
1,9,1.0,0.75,0.5925925925925926,0.0
1,10,1.0,0.7777777777777778,0.6333333333333333,0.0
2,2,1.0,0.16666666666666666,0.16666666666666666,0.0
2,3,1.0,0.24999999999999997,0.27777777777777773,0.0
2,4,1.0,0.34722222222222215,0.25,0.0
2,5,1.0,0.375,0.26666666666666666,0.0
2,6,1.0,0.39444444444444443,0.2777777777777778,0.0
2,7,1.0,0.4166666666666667,0.2857142857142857,0.0
2,8,1.0,0.4166666666666667,0.4375,0.0
2,9,1.0,0.42824074074074076,0.3148148148148148,0.0
2,10,1.0,0.43703703703703695,0.3,0.0
3,2,1.0,0.16666666666666666,0.16666666666666666,0.0
3,3,1.0,0.2777777777777778,0.2222222222222222,0.0
3,4,1.0,0.2777777777777778,0.25,0.0
3,5,1.0,0.3,0.26666666666666666,0.0
3,6,1.0,0.288888888888889,0.2777777777777778,0.0
3,7,1.0,0.3015873015873015,0.3333333333333333,0.0
3,8,1.0,0.30357142857142855,0.3333333333333333,0.0
3,9,1.0,0.30092592592592593,0.3333333333333333,0.0
3,10,1.0,0.30740740740740724,0.3,0.0
