r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.22884262526876675,0.6,0.6,0.6
1,3,0.40006597415517753,0.4666666666666667,0.6,0.6047858942065492
1,4,0.16750827862434153,0.85,0.9,0.9975650713685977
1,5,0.21727534544095356,0.72,0.9199999999999999,0.9179093198992444
2,2,0.13132159714314978,0.8,0.8,0.9959798994974876
2,3,0.14057569621406446,0.8166666666666668,0.85,0.8009607351712615
2,4,0.22782391332891166,0.6811904761904761,0.8057142857142857,0.6340836497730472
2,5,0.26441007953551354,0.5673809523809524,0.7849999999999999,0.5513268168609904
3,2,0.1672213559279136,0.76,0.76,0.8657477025898078
3,3,0.23882476639562294,0.38567460317460317,0.42952380952380953,0.5963265765202699
3,4,0.31585514892756833,0.6422222222222224,0.7433333333333333,0.7414781903801291
3,5,0.27109101537624053,0.6133566433566433,0.5756643356643357,0.506493806428875
4,2,0.16661226169999832,0.5142857142857142,0.5142857142857142,0.7919783755872092
4,3,0.4097903012366963,0.38888888888888884,0.4111111111111111,0.6854103729702385
4,4,0.37403585610850115,0.5722527472527472,0.7008241758241758,0.6574065380675997
4,5,0.22408678036983826,0.6997058823529411,0.7486764705882354,0.6778255980465673
5,2,0.3087767464520331,0.5977777777777777,0.5977777777777777,0.7590024937655862
5,3,0.2607789283145935,0.5063492063492063,0.5385592185592185,0.6395720471455164
5,4,0.27313977201969036,0.6473949579831932,0.7118767507002801,0.6229252050363533
5,5,0.40579127244439206,0.42519964349376116,0.637048128342246,0.590334696843599
6,2,0.22340924237986784,0.6393939393939394,0.6393939393939394,0.7655469535117431
6,3,0.20381515744172435,0.7599673202614379,0.8031209150326799,0.7850300447991481
6,4,0.3083833085434419,0.6031385281385282,0.6084415584415584,0.7472998539774844
6,5,0.4052678338451847,0.49243589743589744,0.6104273504273505,0.6818394507697604
7,2,0.22479841915249418,0.5692307692307692,0.5692307692307692,0.7397318609032943
7,3,0.3192542277950672,0.49142857142857144,0.5542857142857143,0.6038035464881446
7,4,0.29237264950932457,0.5735972433363736,0.6984384311340832,0.6398396666285111
7,5,0.3503325524885802,0.576187275985663,0.688328853046595,0.6907617321286649
8,2,0.25152687314751654,0.7125,0.7125,0.8492264851485147
8,3,0.32457407343986655,0.5721367400715227,0.6163278750235273,0.776528560307559
8,4,0.2362568978633935,0.5945241664881845,0.6514692653673164,0.6403872884763628
8,5,0.2837641755551238,0.5292882063112326,0.6588049669628617,0.6469070328538222
9,2,0.23443165131519567,0.55890522875817,0.55890522875817,0.7289586108842174
9,3,0.2537876835374213,0.5789554655870445,0.6530290761869709,0.6363978843817336
9,4,0.28963882822138787,0.5457245263696876,0.6179863147605082,0.65828889114693
9,5,0.30513484125780277,0.5273751705611462,0.6862798482005799,0.5642217350108046
10,2,0.21932905503264394,0.7026315789473684,0.7026315789473684,0.7593588788271274
10,3,0.33191718057403535,0.5471957250922769,0.5978328772121876,0.6497931740554331
10,4,0.3294039972718761,0.550234040984815,0.6283143520566121,0.6843335683320264
10,5,0.3241250550504503,0.5733916075479906,0.675302144816884,0.5916213811453245
