r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6880880989827208,0.6,0.6,0.6
1,3,0.9715996243143952,0.13333333333333333,0.2,0.1332493702770781
1,4,0.7659457190172354,1.0,1.0,1.0
1,5,0.908944004478203,0.5,0.8400000000000001,0.5
2,2,0.8413829970567954,0.7,0.7,0.7
2,3,0.8133041287882941,0.6333333333333333,0.6833333333333333,0.5999164578111946
2,4,0.6612171296869741,0.590952380952381,0.6242857142857142,0.5166666666666667
2,5,0.7193689746911069,0.5445238095238096,0.5745238095238095,0.41
3,2,0.8259732946229607,0.6133333333333333,0.6133333333333333,0.6
3,3,0.6469534837244072,0.5569047619047619,0.5854761904761905,0.4444444444444445
3,4,0.9304956324913217,0.4533333333333333,0.5266666666666666,0.42222222222222217
3,5,0.6627052828915148,0.405967365967366,0.49566433566433565,0.3466666666666667
4,2,0.7064563970640637,0.5976190476190475,0.5976190476190475,0.55
4,3,0.8899676620614227,0.46333333333333326,0.5444444444444445,0.4333333333333333
4,4,0.9227689904254106,0.4115384615384615,0.5204670329670329,0.3833333333333333
4,5,0.7616471211733862,0.5398897058823529,0.6301470588235294,0.4499568205315332
5,2,0.7922846675611619,0.5933333333333334,0.5933333333333334,0.5999501246882794
5,3,0.7135972298999185,0.4394871794871795,0.48249084249084256,0.4
5,4,0.780136679179653,0.5150700280112044,0.5529131652661065,0.42666666666666664
5,5,0.8425345536614858,0.2263826500297089,0.3985549613784908,0.18266666666666667
6,2,0.7475016287588055,0.6787878787878788,0.6787878787878788,0.6333333333333333
6,3,0.7769417414726524,0.6179248366013071,0.6658006535947714,0.5555555555555556
6,4,0.8784199314391066,0.42907647907647906,0.6001082251082251,0.4055285868392664
6,5,0.9150374609132241,0.2924786324786325,0.4533333333333333,0.2666666666666667
7,2,0.7250113000131279,0.6047619047619047,0.6047619047619047,0.5714285714285714
7,3,0.7765596046278957,0.41238095238095235,0.44952380952380955,0.3333100477354756
7,4,0.7597992459100245,0.4867765278200061,0.6472982669504408,0.41904761904761906
7,5,0.8673356140482082,0.48879181600955796,0.5726030465949821,0.42285029119561485
8,2,0.866789977513829,0.6875,0.6875,0.6999690594059406
8,3,0.8899848939624796,0.5362083568605308,0.5746659137963486,0.516656454248366
8,4,0.7877465634693663,0.47096570762237927,0.5502163204112229,0.3791566022544283
8,5,0.8133270369445276,0.3625420084301663,0.4395819093187514,0.2874970449172577
9,2,0.7771480661372632,0.47434640522875815,0.47434640522875815,0.4444444444444445
9,3,0.7566429356316803,0.5375885167464116,0.5794626426205374,0.45925925925925926
9,4,0.8020380764531956,0.4274635758506727,0.5286133221617093,0.3555422221540642
9,5,0.7280469177905171,0.4136969483768265,0.49857709363806924,0.3422169687417914
10,2,0.7790254627193403,0.5454970760233919,0.5454970760233919,0.52
10,3,0.8538756498879939,0.42215760739898667,0.45901183108079663,0.38666666666666666
10,4,0.8492812971185767,0.4556116393925991,0.5673999336576736,0.4133173933410016
10,5,0.8220804320328383,0.44788805008708865,0.5550033625262912,0.3659953488372093
