r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3528531168927952,0.6,0.6,0.6
1,3,0.654519892512927,0.4333333333333333,0.5333333333333333,0.5997481108312342
1,4,0.2335011248095294,0.8333333333333333,1.0,0.8997061293031067
1,5,0.5512118012246636,0.74,0.9199999999999999,0.8192443324937028
2,2,0.32625543026493753,0.8,0.8,0.8997487437185929
2,3,0.19458982846597814,0.85,0.85,0.8
2,4,0.3149308344554918,0.7109523809523809,0.8342857142857142,0.6166666666666667
2,5,0.3266383428108205,0.6121428571428571,0.7849999999999999,0.55
3,2,0.3554866008342942,0.7933333333333333,0.7933333333333333,0.8659147869674186
3,3,0.4029202474129163,0.38952380952380955,0.4608730158730158,0.48822165969771564
3,4,0.49701188711419386,0.64,0.7633333333333333,0.6775561097256857
3,5,0.3514332328906495,0.53002331002331,0.588997668997669,0.45108641975308644
4,2,0.31103975635795184,0.6666666666666667,0.6666666666666667,0.7491218624450574
4,3,0.6365440814825724,0.5033333333333333,0.5166666666666666,0.5163965087281795
4,4,0.5227233226613682,0.6127289377289378,0.71510989010989,0.6083025451559935
4,5,0.3511522916275748,0.6816544117647059,0.7361764705882353,0.6298704911105075
5,2,0.3815820571542227,0.7377777777777779,0.7377777777777779,0.72
5,3,0.4619193742318581,0.4915750915750916,0.6067887667887668,0.532639403330095
5,4,0.37908999170435176,0.7029878618113912,0.7394957983193278,0.5866501650165017
5,5,0.6449983888362096,0.4166221033868093,0.6381390374331551,0.4012115592826631
6,2,0.368670428441464,0.7484848484848485,0.7484848484848485,0.7332502078137988
6,3,0.30837729554829374,0.8039542483660131,0.8275653594771242,0.7333196159122084
6,4,0.5433986404016602,0.6334415584415584,0.6977272727272728,0.6438977344959553
6,5,0.6494730157763666,0.49102564102564106,0.6225641025641027,0.4831834111941009
7,2,0.3267972044056781,0.6868131868131868,0.6868131868131868,0.6856074986662697
7,3,0.46191216892142234,0.5466666666666666,0.5466666666666666,0.485597511041158
7,4,0.4369068379621486,0.6473311036789298,0.7569133475220431,0.5903656122834369
7,5,0.5093597352071948,0.5919765531660693,0.6832362604540023,0.5713941636126718
8,2,0.38546313459639175,0.7875,0.7875,0.8495977722772278
8,3,0.4804612814080523,0.6279832486354225,0.6325992847731978,0.6663518971607574
8,4,0.4205381355794479,0.6112681754360915,0.698032412365246,0.6120102970467367
8,5,0.4994295038344247,0.5746669941900204,0.6644454887218044,0.5296474493936871
9,2,0.3952865253905225,0.581781045751634,0.581781045751634,0.6659798438870325
9,3,0.3768248519822615,0.6767213838792786,0.7004136915715863,0.5998918626655853
9,4,0.47822034153379167,0.6129032258064517,0.6902387934645999,0.5772691493993671
9,5,0.45306407104932916,0.5462531802547047,0.7279677639433737,0.479875132035714
10,2,0.29357506388683385,0.7763742690058478,0.7763742690058478,0.74
10,3,0.4873584224057913,0.6052515122170294,0.6195032068825173,0.5865292815992966
10,4,0.5567704035407057,0.611187711926876,0.6751470588235294,0.5896124266569381
10,5,0.507569725313197,0.6255296802306433,0.7010916185010946,0.5412434568976524
