r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6,0.0,0.0,0.0
1,3,0.56849129091783,0.3,0.2,0.39942950285248574
1,4,0.8195057749742342,0.23333333333333334,0.3,0.23333333333333334
1,5,0.2664258889447266,0.8,0.8,0.8
2,2,0.5632782970281482,0.5,0.5,0.5
2,3,0.6126070976522245,0.5866666666666667,0.6533333333333333,0.5666666666666667
2,4,0.6694675753976196,0.7183333333333334,0.7683333333333333,0.6499190938511326
2,5,0.7214029137115502,0.56125,0.735,0.5365693430656935
3,2,0.5821816775005433,0.5133333333333334,0.5133333333333334,0.5997566909975669
3,3,0.6006019330038206,0.41587301587301584,0.4888888888888888,0.44368748310354145
3,4,0.7431850865019278,0.15777777777777777,0.18,0.14444444444444443
3,5,0.6735852852283085,0.553409090909091,0.5942424242424242,0.5397999281734033
4,2,0.5766386155658789,0.45357142857142857,0.45357142857142857,0.44993932038834955
4,3,0.5516865071506083,0.5875757575757576,0.6075757575757577,0.549798370588717
4,4,0.6711734185086449,0.5033008658008657,0.5483766233766234,0.4915171451355662
4,5,0.8208729215059716,0.35990079365079364,0.43607142857142855,0.318086937921859
5,2,0.6179118139472928,0.5200000000000001,0.5200000000000001,0.48
5,3,0.6132961530483724,0.3412587412587412,0.3671328671328672,0.33325301204819274
5,4,0.6434516910092345,0.5251587301587302,0.5878571428571429,0.41994389094840906
5,5,0.5430209739056868,0.5810496894409939,0.6898633540372672,0.4719322620597712
6,2,0.6509992531889253,0.49393939393939396,0.49393939393939396,0.49995964487489913
6,3,0.46645393556841136,0.5509803921568628,0.5839752567693745,0.49989373656206293
6,4,0.5901822591569303,0.5098564593301436,0.4908133971291866,0.4442731603494366
6,5,0.5820849357248099,0.5679126979470229,0.5790269058003611,0.43327849581147015
7,2,0.6957838286664659,0.43296703296703304,0.43296703296703304,0.42857142857142855
7,3,0.6057454280166266,0.6068253968253968,0.6534920634920636,0.5904421768707483
7,4,0.6639058771968921,0.357010101010101,0.4002424242424242,0.29522097759895133
7,5,0.7207127266379991,0.48308611751152075,0.6269314690685659,0.4484515303504666
8,2,0.527149936778896,0.40302197802197803,0.40302197802197803,0.37496980676328506
8,3,0.6373595789141551,0.529978354978355,0.5633549783549784,0.49996031746031744
8,4,0.7223604075825572,0.4935632183908045,0.5211311804415253,0.4664566517559773
8,5,0.7323116735340016,0.4830354339950529,0.5558734032191383,0.4457700421102813
9,2,0.6186003833736125,0.5299019607843137,0.5299019607843137,0.48888888888888893
9,3,0.6418025142291336,0.3524268774703557,0.38442687747035575,0.3182618155552272
9,4,0.6543027047208367,0.5057635327635327,0.5318547008547009,0.45545536937851805
9,5,0.7144053795732259,0.5381540687028492,0.5686120266608071,0.509458252258506
10,2,0.5671502058536214,0.5451461988304094,0.5451461988304094,0.5199999999999999
10,3,0.7561295933980074,0.3628815628815629,0.41446886446886444,0.32666666666666666
10,4,0.6493033275780489,0.4555122769828652,0.5191320311908547,0.3999728677948492
10,5,0.5593602369524651,0.5215037095919449,0.5962983571807101,0.40596060606060613
