r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6,0.0,0.0,0.0
1,3,0.5972431063725514,0.3,0.2,0.39942950285248574
1,4,0.8730765932410648,0.23333333333333334,0.3,0.23333333333333334
1,5,0.4530898531075304,0.76,0.8,0.76
2,2,0.6257127467276488,0.5,0.5,0.5
2,3,0.6912204499858525,0.5700000000000001,0.62,0.5665855636658556
2,4,0.7741053695952951,0.615,0.7683333333333333,0.5832119741100323
2,5,0.812529019154276,0.54875,0.735,0.5166666666666667
3,2,0.6568450679118475,0.5466666666666666,0.5466666666666666,0.5998377939983779
3,3,0.6573926196680067,0.43015873015873013,0.4888888888888888,0.3999459313327926
3,4,0.7673575245710409,0.1511111111111111,0.18,0.14443099273607748
3,5,0.768153736454247,0.5109090909090909,0.6075757575757577,0.47994404476418867
4,2,0.6568231192012783,0.47857142857142854,0.47857142857142854,0.45
4,3,0.6312242341479951,0.5966666666666667,0.6075757575757577,0.53329307568438
4,4,0.7466069663996117,0.4824675324675324,0.5483766233766234,0.45
4,5,0.8600531300483494,0.3332638888888889,0.44940476190476186,0.2782912658867346
5,2,0.6710425449499107,0.5200000000000001,0.5200000000000001,0.48
5,3,0.6564229141717467,0.3412587412587412,0.3825174825174825,0.31996787148594374
5,4,0.7185772900205362,0.5182539682539682,0.6011904761904762,0.39999198717948714
5,5,0.6248037099962342,0.5353084886128364,0.6898633540372672,0.4279512195121951
6,2,0.6977739807455741,0.5121212121212121,0.5121212121212121,0.5
6,3,0.5548018231503717,0.5745915032679739,0.6186974789915966,0.4999867409175285
6,4,0.6699415220606516,0.5194258373205741,0.5467942583732057,0.43330042127435486
6,5,0.6647485565483593,0.5458335778129828,0.5790269058003611,0.40666267942583734
7,2,0.7528164793713591,0.43296703296703304,0.43296703296703304,0.42857142857142855
7,3,0.6806351430740913,0.6023015873015873,0.6534920634920636,0.5809297052154194
7,4,0.713621282544014,0.33301010101010103,0.4002424242424242,0.2761904761904762
7,5,0.8159863128116346,0.46879734848484844,0.6401349322720291,0.431361947148997
8,2,0.586725159961224,0.41730769230769227,0.41730769230769227,0.375
8,3,0.7002965283135959,0.5351731601731602,0.5728787878787879,0.4916666666666666
8,4,0.781066847158533,0.47958827464574594,0.5565991607370917,0.4416178422996998
8,5,0.8119958734101468,0.4526190622175196,0.5506102453244014,0.41577292229461305
9,2,0.6840054289178529,0.5299019607843137,0.5299019607843137,0.48888888888888893
9,3,0.6844926632646098,0.3524268774703557,0.40181818181818185,0.2962962962962963
9,4,0.723717943098447,0.48931908831908827,0.5395470085470085,0.4370151475352421
9,5,0.7830496843919124,0.5080207646671061,0.5741675822163628,0.47178815853173867
10,2,0.6186799847701479,0.5451461988304094,0.5451461988304094,0.5199999999999999
10,3,0.8066296659896983,0.3628815628815629,0.41446886446886444,0.3266588050314465
10,4,0.719593896302792,0.4397886542004189,0.5191320311908547,0.38333333333333336
10,5,0.641204513219877,0.5108501148207031,0.5962983571807101,0.39397668997669
