r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.585460067248319,0.0,0.0,0.0
1,3,0.6049875395491141,0.5333333333333333,0.6,0.5995925020374898
1,4,0.49495864416173524,0.4999999999999999,0.7,0.6334148329258353
1,5,0.48600827972180644,0.8,0.8,0.8
2,2,0.6007494193563975,0.65,0.65,0.7993902439024391
2,3,0.6336338422423184,0.7533333333333333,0.7866666666666667,0.7333333333333333
2,4,0.615462241446988,0.76,0.8433333333333334,0.683252427184466
2,5,0.6098755302803749,0.7375,0.86,0.7433091202582728
3,2,0.7053288037843262,0.5133333333333334,0.5133333333333334,0.5998377939983779
3,3,0.5098258640653304,0.6396825396825397,0.7349206349206349,0.7093843175990893
3,4,0.5444545475500894,0.46899470899470896,0.5980952380952381,0.4446467098166128
3,5,0.5898477618420105,0.8118939393939394,0.8536363636363637,0.7930358695112198
4,2,0.7018263911337239,0.4214285714285714,0.4214285714285714,0.40018203883495146
4,3,0.6378392220221398,0.6506060606060606,0.6954545454545454,0.5835140074868258
4,4,0.6948373068231655,0.45405844155844155,0.5337662337662337,0.48271263297084277
4,5,0.7768460315114518,0.4440277777777778,0.5660714285714286,0.38978970551746556
5,2,0.6112215418947973,0.4955555555555556,0.4955555555555556,0.5595635769529138
5,3,0.5192741314366136,0.570979020979021,0.5765734265734266,0.5332048192771085
5,4,0.5852507800091925,0.672063492063492,0.723452380952381,0.586321420296571
5,5,0.5623988163910705,0.6709068322981366,0.7824182194616978,0.5652950946238872
6,2,0.5125377147909338,0.8272727272727274,0.8272727272727274,0.8332125603864735
6,3,0.4917835651010277,0.7371265172735761,0.8123832866479926,0.6555023914272843
6,4,0.5814685496650042,0.6394019138755981,0.6726076555023923,0.5664881263584874
6,5,0.5993308447286597,0.6592582813406612,0.6953855281086402,0.559462312821716
7,2,0.6303061991962124,0.5912087912087912,0.5912087912087912,0.6284336517914307
7,3,0.6332278438240515,0.7922222222222223,0.8336507936507938,0.7808844883955165
7,4,0.584263847165695,0.5067474747474747,0.5730909090909091,0.461831138420154
7,5,0.6756636134724616,0.708138920890937,0.8139243820695434,0.6399036389966621
8,2,0.56174365846554,0.5315934065934066,0.5315934065934066,0.475030193236715
8,3,0.6126642220000091,0.6201515151515151,0.6582900432900433,0.5916270783847981
8,4,0.6861396959791581,0.6324971112327434,0.654590403211093,0.6204870147268078
8,5,0.7040601371135683,0.5211623390956422,0.6356785749322047,0.5214416242179729
9,2,0.5506337685254996,0.6899509803921567,0.6899509803921567,0.6666131835032437
9,3,0.5883271439492221,0.517098814229249,0.5625375494071145,0.48085446707774493
9,4,0.6498056326170458,0.5894465811965812,0.6295470085470085,0.5516879794174385
9,5,0.6582437101393191,0.6533607998242145,0.7603713469567127,0.6272575015308208
10,2,0.6078272213471914,0.6085380116959065,0.6085380116959065,0.5800000000000001
10,3,0.6444903738670631,0.5991859991859991,0.6356939356939357,0.573286200517943
10,4,0.6555547064200721,0.5869681341004871,0.6830370391399804,0.5166742564321891
10,5,0.5465368472858937,0.6164259848083378,0.664350821409645,0.5165223435870208
