r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.26118999241696983,0.6,0.6,0.6
1,3,0.4356881383764598,0.5666666666666667,0.7333333333333333,0.6666666666666667
1,4,0.4252153454900226,0.5666666666666667,0.6,0.5998122065727699
1,5,0.4343774827402148,0.55,0.6,0.6
2,2,0.26107718014917,0.6666666666666666,0.6666666666666666,0.6
2,3,0.535470707925719,0.5133333333333333,0.5266666666666666,0.5330992509363296
2,4,0.403374410673786,0.3511111111111111,0.5333333333333333,0.36666666666666664
2,5,0.44590480713400193,0.7166666666666666,0.7066666666666668,0.6498607242339833
3,2,0.4050360524276443,0.6266666666666667,0.6266666666666667,0.6664794007490638
3,3,0.3252996522378667,0.6603174603174603,0.6825396825396826,0.6222222222222221
3,4,0.47292487587011545,0.6548148148148147,0.6399999999999999,0.5997206703910614
3,5,0.45293449981362677,0.5913419913419913,0.6770562770562771,0.5044444444444445
4,2,0.4684373985180733,0.7333333333333333,0.7333333333333333,0.7497905027932961
4,3,0.5448752893217753,0.5272727272727272,0.5371212121212121,0.5331252564891761
4,4,0.6363905061800079,0.409949494949495,0.41356060606060596,0.3582055666215382
4,5,0.5976910357270168,0.5411990950226244,0.621787330316742,0.5030038875747322
5,2,0.43056681164415894,0.47222222222222215,0.47222222222222215,0.43994428969359334
5,3,0.6028245410509703,0.5502564102564103,0.5835897435897436,0.585583103764922
5,4,0.3480396832854394,0.646118892001245,0.6812885154061624,0.5865476943148177
5,5,0.5596418700294472,0.6547359916298535,0.7446826319460591,0.6051324311245853
6,2,0.3545257486119412,0.7181818181818181,0.7181818181818181,0.7331018518518518
6,3,0.49940545224928456,0.45903540903540907,0.47887667887667884,0.4553709214121849
6,4,0.5236019195409761,0.5951010101010101,0.7237878787878788,0.6106906906906906
6,5,0.5047386739609451,0.6153561253561254,0.6441025641025642,0.6226912394091335
7,2,0.38423679901933333,0.7461538461538462,0.7461538461538462,0.7428175702413929
7,3,0.45235884373302626,0.6106349206349206,0.6407936507936508,0.6093032308291163
7,4,0.46431104624301084,0.5372591616649587,0.5805270092226614,0.4855666257822639
7,5,0.3738151006170661,0.6106034464730118,0.674491289708681,0.5235245796431781
8,2,0.4261646853088756,0.6383333333333334,0.6383333333333334,0.649792243767313
8,3,0.49957815966006985,0.5056126482213439,0.5774308300395257,0.4832194891319224
8,4,0.494632184425252,0.559624542124542,0.5950054945054946,0.5610341083624889
8,5,0.49979067198958604,0.583430930930931,0.6770082582582583,0.5422119910416697
9,2,0.4788000715844049,0.5177777777777777,0.5177777777777777,0.5552792255637888
9,3,0.4477649064786321,0.5820952380952381,0.5893333333333334,0.5332026305549712
9,4,0.5222704230383888,0.5086934251234454,0.5421367153618675,0.47312176470661277
9,5,0.566029983128269,0.5480241597482977,0.6152574290184555,0.49161509118084956
10,2,0.4683424089057041,0.565015479876161,0.565015479876161,0.5797517617155991
10,3,0.5315436329588191,0.5222539682539682,0.5630899470899471,0.4932432181683618
10,4,0.5518266538082249,0.5795507433742728,0.6101691445809092,0.506627005733326
10,5,0.6083167114889945,0.5396735677905098,0.5701640971259211,0.48616625571958033
