r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3547463317703792,0.6,0.6,0.6
1,3,0.49723123599951624,0.7,0.8,0.8
1,4,0.46525491151276943,0.5666666666666667,0.7,0.5666666666666667
1,5,0.475730710797621,0.5599999999999999,0.6799999999999999,0.640112676056338
2,2,0.3210150346161158,0.7666666666666666,0.7666666666666666,0.7005617977528089
2,3,0.6442976906150513,0.6866666666666668,0.6666666666666667,0.6997663110187895
2,4,0.32834388089616945,0.49777777777777776,0.6733333333333333,0.4666666666666667
2,5,0.5679113458031644,0.7416666666666667,0.8466666666666667,0.7001810584958218
3,2,0.5214181450068639,0.6666666666666667,0.6666666666666667,0.7329595883297139
3,3,0.4897743125347421,0.7238095238095237,0.7746031746031745,0.7108315192372213
3,4,0.5845478529882684,0.64,0.6955555555555556,0.6109561859171107
3,5,0.49550821310724463,0.587922077922078,0.6494372294372295,0.524388115639001
4,2,0.4664184306878922,0.8083333333333332,0.8083333333333332,0.7999301675977654
4,3,0.534603246658132,0.6636363636363637,0.6886363636363637,0.6496075715604801
4,4,0.5732302954735867,0.5257828282828283,0.6800757575757576,0.5162058970087902
4,5,0.5594843710166522,0.655,0.8057692307692307,0.6429894601311494
5,2,0.4530655983163693,0.6088888888888888,0.6088888888888888,0.6393862529372403
5,3,0.5741541890002286,0.6138461538461538,0.7015384615384616,0.7190261211968592
5,4,0.45350590054324635,0.7368534080298786,0.7637441643323997,0.7324005949191061
5,5,0.6112426062538361,0.7054316438037666,0.8533782841199722,0.693066575585998
6,2,0.47601095262548243,0.8015151515151515,0.8015151515151515,0.8330551686784278
6,3,0.5308902816400417,0.5154456654456655,0.5821733821733821,0.5109566214730396
6,4,0.5626770098317174,0.7084343434343434,0.8393939393939395,0.7330104697088393
6,5,0.6031072364142974,0.7532535612535612,0.8293561253561255,0.7034319410402491
7,2,0.5294344219178322,0.701098901098901,0.701098901098901,0.7990481686672822
7,3,0.577507797982849,0.7388888888888889,0.7766666666666666,0.7710371064023376
7,4,0.5523181750091916,0.6503270385009514,0.7560146391450739,0.5809588851524337
7,5,0.435780132796521,0.7515229939142983,0.8359589685676643,0.6429769610403528
8,2,0.4404008282125506,0.7691666666666667,0.7691666666666667,0.7749309392265193
8,3,0.47404112720452396,0.7176086956521739,0.7898814229249012,0.6747716894977169
8,4,0.5668950751305718,0.6682179487179487,0.7185247252747253,0.6360540692728947
8,5,0.5630764118671918,0.6570626876876877,0.757819069069069,0.606507756175633
9,2,0.4400964784058151,0.6499999999999999,0.6499999999999999,0.6886737771401584
9,3,0.49913706895355314,0.6708571428571428,0.710857142857143,0.6220415537488708
9,4,0.5860327078419266,0.5605190967597999,0.6405679513184583,0.5136980736847019
9,5,0.6030006818304935,0.6095428629109463,0.7061140516794084,0.5472714796360364
10,2,0.5299993795042125,0.6509803921568628,0.6509803921568628,0.6199449035812672
10,3,0.5650788915272826,0.6416190476190475,0.7121481481481482,0.6198009933348325
10,4,0.5854056777435928,0.6314817208934855,0.7020057638439992,0.5831871837053028
10,5,0.6326782444033856,0.6101126830556283,0.704114156015702,0.5318823873137591
