r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.14700613343391408,0.6,0.6,0.6
1,3,0.19794169997404143,0.5666666666666667,0.7333333333333333,0.7123004694835681
1,4,0.22561585477826435,0.5333333333333333,0.6,0.5404225352112676
1,5,0.1666327372036274,0.53,0.5599999999999999,0.6454366197183099
2,2,0.18294385409140274,0.6666666666666666,0.6666666666666666,0.6
2,3,0.2517368429977494,0.5566666666666666,0.5733333333333334,0.6128851540616246
2,4,0.1795246612788303,0.3427777777777778,0.5083333333333333,0.435305361030241
2,5,0.27430937408497275,0.6216666666666667,0.7066666666666667,0.6465738161559889
3,2,0.1705168603149794,0.6266666666666667,0.6266666666666667,0.6890751056977098
3,3,0.19302965599984662,0.6603174603174603,0.6825396825396826,0.6523274614705059
3,4,0.2480161848614058,0.6081481481481481,0.6088888888888888,0.5943333672008728
3,5,0.19099303732500023,0.5571753246753246,0.6770562770562771,0.5465843948751027
4,2,0.13760802567992822,0.7333333333333333,0.7333333333333333,0.7498603351955306
4,3,0.258767469176704,0.5378787878787878,0.5371212121212121,0.5404199369036626
4,4,0.23085836477299101,0.38638888888888884,0.4153787878787879,0.3877385273904715
4,5,0.24917625289592618,0.5445814479638009,0.6200226244343892,0.5268047988786624
5,2,0.1776341984910199,0.44499999999999995,0.44499999999999995,0.4943193158746825
5,3,0.21947401372490077,0.5461538461538462,0.6102564102564102,0.6001595405070601
5,4,0.18858261253150677,0.6611826953003423,0.652717086834734,0.6274628980055523
5,5,0.2916710525898608,0.6089632643571262,0.7095047663334109,0.5824247092801875
6,2,0.18733652691657213,0.7333333333333333,0.7333333333333333,0.7558182451253483
6,3,0.22566236861041883,0.43180708180708177,0.46776556776556777,0.45152674596515585
6,4,0.2804479118211916,0.5920707070707071,0.6896969696969697,0.6517637487935438
6,5,0.2866515686595733,0.6086239316239317,0.6601823361823362,0.6080925416356274
7,2,0.18927303887959832,0.7175824175824176,0.7175824175824176,0.7655685265796068
7,3,0.26090119291574254,0.6153968253968254,0.6503174603174603,0.6358203549799117
7,4,0.2611639642494671,0.47963265505294495,0.5373491436100132,0.46480956185907907
7,5,0.2436569219135556,0.609308143547274,0.7117928770102683,0.5393105101872064
8,2,0.20135111091231322,0.6383333333333333,0.6383333333333333,0.6667704810149829
8,3,0.23199145819901737,0.5192490118577076,0.5956126482213439,0.526617662810191
8,4,0.2773117798511048,0.5662152014652015,0.5676346153846155,0.55650985503631
8,5,0.2794507546154842,0.5446114864864865,0.6378753753753754,0.5584735076589943
9,2,0.18682785879895625,0.5169444444444444,0.5169444444444444,0.5553099187685355
9,3,0.21572377015956373,0.5588571428571429,0.5668571428571428,0.5518217404396266
9,4,0.27434534927137555,0.46486819968902465,0.5291795575771234,0.4448885585241934
9,5,0.244541941452263,0.541991870732849,0.6102599458814375,0.5099291992622002
10,2,0.2147558925200305,0.5346061231510149,0.5346061231510149,0.5772679329710972
10,3,0.24908513699581447,0.5145502645502645,0.5474179894179894,0.5069941704859671
10,4,0.25900209030344906,0.5487573619191266,0.5989590066795949,0.503151874836872
10,5,0.28007870107425825,0.5266038127376521,0.5734848009983357,0.4863905853861432
