r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.09914460302990305,0.2,0.2,0.4594366197183099
1,3,0.07724153257372322,0.16666666666666666,0.2,0.7375586854460094
1,4,0.02555513847374674,0.06666666666666667,0.15,0.5246478873239437
1,5,0.003726528178957891,0.22999999999999998,0.32,0.6955962441314554
2,2,0.09800573203753875,0.3,0.3,0.5502987023263175
2,3,0.08507856963060881,0.03333333333333333,0.0,0.6383352217291411
2,4,0.10426876607393239,0.2866666666666667,0.44000000000000006,0.5608447061019898
2,5,0.019362738916629856,0.18333333333333335,0.2866666666666667,0.651847699007415
3,2,0.02805442156480182,0.0,0.0,0.6781921757467032
3,3,0.039631497690148065,0.05555555555555556,0.04444444444444444,0.6255453341968171
3,4,0.08406031515238967,0.16259259259259257,0.15,0.6428709827936088
3,5,0.018209750124229245,0.19666666666666666,0.24787878787878787,0.623759532364392
4,2,0.01590276225008641,0.1,0.1,0.677189128114996
4,3,0.032007085950205426,0.10984848484848486,0.16666666666666666,0.677696892622854
4,4,0.012201176372273774,0.17845959595959596,0.22454545454545455,0.7028466840411884
4,5,0.059814300310008506,0.2380995475113122,0.362420814479638,0.7118292219732776
5,2,0.030819632017426324,0.04444444444444444,0.04444444444444444,0.5847469255827633
5,3,0.027680593241267377,0.27897435897435896,0.2594871794871795,0.7578472715062994
5,4,0.03912594535309207,0.3007407407407407,0.342250233426704,0.649953319060795
5,5,0.04251435475504056,0.2060518484073471,0.26310671936758895,0.7224765550378214
6,2,0.007779651795301398,0.03333333333333333,0.03333333333333333,0.719527494067884
6,3,0.0403953224950935,0.11959706959706959,0.22490842490842486,0.6102542502454561
6,4,0.028280593296783074,0.2508080808080808,0.3701515151515152,0.7652073954827523
6,5,0.07397612453659536,0.20721652421652426,0.2694358974358974,0.6450540526697967
7,2,0.0640027984434231,0.1021978021978022,0.1021978021978022,0.70534494130062
7,3,0.05686286097612003,0.13912698412698413,0.19063492063492063,0.704625570710508
7,4,0.06868034549260082,0.1371863563167911,0.22345600936905283,0.5399496705653454
7,5,0.030922224709640456,0.2120132484262919,0.32395591526026307,0.569992254452432
8,2,0.04877148089813368,0.195,0.195,0.7548176106885417
8,3,0.02942030667079642,0.20503952569169961,0.23387351778656126,0.6566798495512816
8,4,0.05960643076097314,0.25686996336996337,0.3643379120879121,0.6520933518040597
8,5,0.06306342320363793,0.2571527777777778,0.4169144144144144,0.673896097474229
9,2,0.02616438506501445,0.19499999999999998,0.19499999999999998,0.6851890636124246
9,3,0.03451100130977535,0.15809523809523812,0.24114285714285716,0.6593117548628555
9,4,0.05964630497860189,0.19706918178858673,0.2774458581760813,0.6070567965050513
9,5,0.03954626333326344,0.22417437681270883,0.3097017604154733,0.6710381458476741
10,2,0.050105902515376874,0.11929824561403508,0.11929824561403508,0.6050839119781146
10,3,0.03098855182522377,0.23236507936507939,0.28024338624338624,0.695179103435376
10,4,0.009030554123526756,0.20245008259714142,0.2919481254040078,0.7235146753508902
10,5,0.05679047001358194,0.23748830433208398,0.3019252450401638,0.6479170416231197
