r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.04660941489182601,0.4,0.4,0.796056338028169
1,3,0.06146275686668314,0.4666666666666667,0.7333333333333333,0.9912676056338029
1,4,0.05759637279713696,0.6333333333333333,0.55,0.7896244131455399
1,5,0.051222329181557016,0.5,0.6,0.7950234741784037
2,2,0.02345923671314452,0.7166666666666666,0.7166666666666666,0.7992977528089888
2,3,0.0978795602117829,0.62,0.7733333333333334,0.9312322307200034
2,4,0.023526558098361683,0.6755555555555556,0.82,0.6991612265394513
2,5,0.05907186801165405,0.6866666666666668,0.8266666666666668,0.8955710306406685
3,2,0.03768933603926666,0.5266666666666666,0.5266666666666666,0.8639560318509426
3,3,0.049832477420751975,0.680952380952381,0.673015873015873,0.85768548211609
3,4,0.05425803532435476,0.6207407407407408,0.6544444444444445,0.9264439896777716
3,5,0.09843170628366797,0.5893614718614719,0.7246753246753247,0.7325239302039632
4,2,0.05681974223833142,0.45,0.45,0.8890959450128679
4,3,0.04279036008545961,0.6886363636363637,0.7386363636363636,0.8970857225623398
4,4,0.0605397380496779,0.5811868686868686,0.7082575757575758,0.8419808885091623
4,5,0.054891360227137684,0.6465554298642534,0.715475113122172,0.8946358793754932
5,2,0.04737058665056613,0.5366666666666667,0.5366666666666667,0.7419131921609775
5,3,0.08640241237132616,0.4666666666666666,0.3846153846153846,0.8967403066169121
5,4,0.050016800662198546,0.7260473078120138,0.7697945845004669,0.8323324202143768
5,5,0.04982389743426528,0.7203134154847709,0.7938386421762381,0.9557931803102132
6,2,0.045358417012801,0.6530303030303031,0.6530303030303031,0.9295300732487363
6,3,0.07254918891258108,0.5191697191697192,0.5975579975579974,0.8095997005703207
6,4,0.06069431435986548,0.7037878787878789,0.7745454545454546,0.9497088387719781
6,5,0.062430610189513056,0.7057549857549857,0.7862450142450141,0.960411034471704
7,2,0.05847916989836891,0.4824175824175825,0.4824175824175825,0.9358858769731345
7,3,0.047687225216681034,0.6678571428571429,0.696031746031746,0.9650821731493778
7,4,0.05642324866569119,0.6333157663592448,0.7201654223393353,0.8207957423418563
7,5,0.05617585995462171,0.7422004726352552,0.8006232093188614,0.7853440787495095
8,2,0.05609069839520244,0.4683333333333334,0.4683333333333334,0.908762300852451
8,3,0.05000716531818307,0.6490513833992095,0.7043083003952569,0.8450082673409278
8,4,0.06553411626789687,0.6837591575091575,0.7361758241758242,0.888080183677358
8,5,0.055509498537126487,0.6942060810810811,0.7786899399399398,0.8955401326210832
9,2,0.040915379564606655,0.5061111111111111,0.5061111111111111,0.8416183032654535
9,3,0.05234884281306906,0.5918095238095238,0.6262857142857142,0.8369293509271977
9,4,0.06352138597516986,0.5745567006554161,0.658695132528804,0.832580574434397
9,5,0.07382286244320166,0.6125760259521286,0.6844406488993497,0.8745158388891563
10,2,0.046005273471209404,0.4564155486756105,0.4564155486756105,0.8302447288294681
10,3,0.05222102079773835,0.5575396825396826,0.6464761904761904,0.8925233879871095
10,4,0.0674910510768943,0.5674698340874811,0.6029341736694678,0.8890873223038103
10,5,0.07518273264289306,0.6401995454825171,0.7424871093632606,0.8954527170679072
