r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2080425866235514,0.6,0.6,0.976
1,3,0.1959405290105542,0.7666666666666667,0.8,0.9560000000000001
1,4,0.5658135721618457,0.35,0.4,0.6993333333333334
1,5,0.16122173562698694,0.8,0.8,0.9652000000000001
2,2,0.3329368040031937,0.6,0.6,0.7884615384615385
2,3,0.22119574110811463,0.7533333333333333,0.72,0.8765432098765432
2,4,0.35024687764759543,0.5666666666666667,0.6,0.9110119047619047
2,5,0.3870013543401819,0.5549999999999999,0.5,0.9074137931034482
3,2,0.1717220559501218,0.6666666666666666,0.6666666666666666,0.982716049382716
3,3,0.27367813806295327,0.7,0.6666666666666666,0.9367816091954022
3,4,0.2400540380269695,0.7833333333333332,0.7799999999999999,0.9130824372759857
3,5,0.3330733173867635,0.7066666666666667,0.5733333333333333,0.8277777777777777
4,2,0.1577521611230222,0.8,0.8,0.8866071428571429
4,3,0.11905347091764185,0.8416666666666666,0.8333333333333334,0.975
4,4,0.32060860831488036,0.6607142857142858,0.6160714285714286,0.8837316176470589
4,5,0.3702034916101149,0.6475,0.57,0.878108108108108
5,2,0.2964529658624479,0.62,0.62,0.8999999999999998
5,3,0.25304965957271663,0.7404761904761905,0.7257142857142856,0.9187247474747476
5,4,0.3923680584576237,0.5866666666666667,0.58,0.8548648648648649
5,5,0.15338440936013037,0.8480000000000001,0.8719999999999999,0.9754634146341464
6,2,0.3121708023408253,0.6333333333333332,0.6333333333333332,0.9122222222222222
6,3,0.2565203905569481,0.75,0.7333333333333333,0.9273015873015874
6,4,0.24494398694380465,0.7972222222222223,0.7909090909090909,0.902843567251462
6,5,0.2534966811211493,0.7429629629629629,0.7377777777777779,0.9291904761904763
7,2,0.15490504103207875,0.8428571428571429,0.8428571428571429,0.9732718894009217
7,3,0.28182509367978326,0.7164285714285714,0.6957142857142857,0.9024524524524524
7,4,0.32878725440170925,0.7086080586080585,0.6824175824175824,0.8482308294843746
7,5,0.3225243967282656,0.6926785714285714,0.6960714285714286,0.9197166941310686
8,2,0.344675858258395,0.5875,0.5875,0.838671875
8,3,0.4697493252480083,0.5376811594202898,0.5340579710144928,0.7896058254610886
8,4,0.24968310299564161,0.7620833333333333,0.7320833333333333,0.8569602272727274
8,5,0.3195475704547923,0.71,0.7000000000000001,0.8591273584905661
9,2,0.3048887371287822,0.711111111111111,0.711111111111111,0.9
9,3,0.3470857413949461,0.656125356125356,0.6293447293447294,0.8778974706413731
9,4,0.39793091267998715,0.640631808278867,0.5816993464052288,0.7591185410334347
9,5,0.4064905916689191,0.6088888888888889,0.6361904761904762,0.8832521117608836
10,2,0.4313983766900561,0.52,0.52,0.7923529411764706
10,3,0.4432579793821865,0.5488505747126438,0.5154022988505746,0.7789774824658545
10,4,0.34684170222184674,0.681842105263158,0.6423684210526316,0.8460153846153846
10,5,0.33428416644352676,0.6947234042553192,0.6457872340425532,0.8728860938383267
